input,itemsJson,totalKcal,mealType,timeOffset
plain nonfat greek yogurt 150 g + blueberries 150 gr + g30 raw english walnut halves,"[{""name"":""yogurt, greek, plain, nonfat"",""quantity"":150,""unit"":""g"",""kcal"":92},{""name"":""blueberries, raw"",""quantity"":150,""unit"":""g"",""kcal"":86},{""name"":""nuts, walnuts, english, halves, raw"",""quantity"":30,""unit"":""g"",""kcal"":204}]",382,unknown,PT0M
raspberries 150 grams + g20 raw english walnut halves + g100 plain nonfat yogurt 263kcal snack,"[{""name"":""raspberries, raw"",""quantity"":150,""unit"":""g"",""kcal"":77},{""name"":""nuts, walnuts, english, halves, raw"",""quantity"":20,""unit"":""g"",""kcal"":136},{""name"":""yogurt, plain, nonfat"",""quantity"":100,""unit"":""g"",""kcal"":50}]",263,snack,PT0M
plain nonfat greek yogurt 100g + raspberries 150 grams + 20 g raw peanuts bf,"[{""name"":""yogurt, greek, plain, nonfat"",""quantity"":100,""unit"":""g"",""kcal"":61},{""name"":""raspberries, raw"",""quantity"":150,""unit"":""g"",""kcal"":77},{""name"":""peanuts, raw"",""quantity"":20,""unit"":""g"",""kcal"":110}]",248,breakfast,PT0M
plain whole milk yogurt g200 + raspberries 200 grams + 15 grams raw english walnut halves kcal360 bf,"[{""name"":""yogurt, plain, whole milk"",""quantity"":200,""unit"":""g"",""kcal"":155},{""name"":""raspberries, raw"",""quantity"":200,""unit"":""g"",""kcal"":103},{""name"":""nuts, walnuts, english, halves, raw"",""quantity"":15,""unit"":""g"",""kcal"":102}]",360,breakfast,PT0M
ate slice2 white bread + 100 g light canned tuna in water + raw romaine lettuce 50 g lunch -14d,"[{""name"":""bread, white, commercially prepared"",""quantity"":2,""unit"":""slice"",""kcal"":147},{""name"":""fish, tuna, light, canned in water, drained solids"",""quantity"":100,""unit"":""g"",""kcal"":90},{""name"":""lettuce, romaine, green, raw"",""quantity"":50,""unit"":""g"",""kcal"":9}]",246,lunch,-P14D
plain nonfat yogurt 150 gr + strawberries 100 gr + whole raw almonds g15,"[{""name"":""yogurt, plain, nonfat"",""quantity"":150,""unit"":""g"",""kcal"":75},{""name"":""strawberries, raw"",""quantity"":100,""unit"":""g"",""kcal"":31},{""name"":""nuts, almonds, whole, raw"",""quantity"":15,""unit"":""g"",""kcal"":88}]",194,unknown,PT0M
plain whole milk yogurt 200g + 200 g strawberries + 20 grams raw peanuts kcal327 breakfast,"[{""name"":""yogurt, plain, whole milk"",""quantity"":200,""unit"":""g"",""kcal"":155},{""name"":""strawberries, raw"",""quantity"":200,""unit"":""g"",""kcal"":62},{""name"":""peanuts, raw"",""quantity"":20,""unit"":""g"",""kcal"":110}]",327,breakfast,PT0M
plain whole milk yogurt 150 gr + 150g red delicious apple + 50 g rolled whole grain oats bf,"[{""name"":""yogurt, plain, whole milk"",""quantity"":150,""unit"":""g"",""kcal"":116},{""name"":""apples, red delicious, with skin, raw"",""quantity"":150,""unit"":""g"",""kcal"":93},{""name"":""oats, whole grain, rolled, old fashioned"",""quantity"":50,""unit"":""g"",""kcal"":189}]",398,breakfast,PT0M
ate g100 light canned tuna in water + 100 gr canned black beans + g100 raw cucumber with peel 219kcal lunch,"[{""name"":""fish, tuna, light, canned in water, drained solids"",""quantity"":100,""unit"":""g"",""kcal"":90},{""name"":""beans, black, canned, sodium added, drained and rinsed"",""quantity"":100,""unit"":""g"",""kcal"":115},{""name"":""cucumber, with peel, raw"",""quantity"":100,""unit"":""g"",""kcal"":14}]",219,lunch,PT0M
ate plain nonfat greek yogurt 200 g + 200 g strawberries + whole raw almonds 20 grams snack 14d ago,"[{""name"":""yogurt, greek, plain, nonfat"",""quantity"":200,""unit"":""g"",""kcal"":122},{""name"":""strawberries, raw"",""quantity"":200,""unit"":""g"",""kcal"":62},{""name"":""nuts, almonds, whole, raw"",""quantity"":20,""unit"":""g"",""kcal"":117}]",301,snack,-P14D
ate red delicious apple 200 grams + plain nonfat greek yogurt 200 g + whole raw almonds g20 bf 17d ago,"[{""name"":""apples, red delicious, with skin, raw"",""quantity"":200,""unit"":""g"",""kcal"":124},{""name"":""yogurt, greek, plain, nonfat"",""quantity"":200,""unit"":""g"",""kcal"":122},{""name"":""nuts, almonds, whole, raw"",""quantity"":20,""unit"":""g"",""kcal"":117}]",363,breakfast,-P17D
plain nonfat greek yogurt 150 g + raspberries g150 + g15 raw english walnut halves breakfast,"[{""name"":""yogurt, greek, plain, nonfat"",""quantity"":150,""unit"":""g"",""kcal"":92},{""name"":""raspberries, raw"",""quantity"":150,""unit"":""g"",""kcal"":77},{""name"":""nuts, walnuts, english, halves, raw"",""quantity"":15,""unit"":""g"",""kcal"":102}]",271,breakfast,PT0M
ate 100 grams plain nonfat yogurt + raspberries g150 + 20 grams raw peanuts 237kcal breakfast,"[{""name"":""yogurt, plain, nonfat"",""quantity"":100,""unit"":""g"",""kcal"":50},{""name"":""raspberries, raw"",""quantity"":150,""unit"":""g"",""kcal"":77},{""name"":""peanuts, raw"",""quantity"":20,""unit"":""g"",""kcal"":110}]",237,breakfast,PT0M
plain whole milk yogurt g100 + 200 gr raspberries + 30g rolled whole grain oats snack,"[{""name"":""yogurt, plain, whole milk"",""quantity"":100,""unit"":""g"",""kcal"":77},{""name"":""raspberries, raw"",""quantity"":200,""unit"":""g"",""kcal"":103},{""name"":""oats, whole grain, rolled, old fashioned"",""quantity"":30,""unit"":""g"",""kcal"":114}]",294,snack,PT0M
plain nonfat yogurt 100 grams + 100 gr red delicious apple + rolled whole grain oats 50 gr -9h,"[{""name"":""yogurt, plain, nonfat"",""quantity"":100,""unit"":""g"",""kcal"":50},{""name"":""apples, red delicious, with skin, raw"",""quantity"":100,""unit"":""g"",""kcal"":62},{""name"":""oats, whole grain, rolled, old fashioned"",""quantity"":50,""unit"":""g"",""kcal"":189}]",301,unknown,-PT9H
blueberries g150 + raw english walnut halves 15 grams + plain nonfat yogurt 100g 238 cal,"[{""name"":""blueberries, raw"",""quantity"":150,""unit"":""g"",""kcal"":86},{""name"":""nuts, walnuts, english, halves, raw"",""quantity"":15,""unit"":""g"",""kcal"":102},{""name"":""yogurt, plain, nonfat"",""quantity"":100,""unit"":""g"",""kcal"":50}]",238,unknown,PT0M
ate 100 gr plain whole milk yogurt + 100g blueberries + 30 gr whole raw almonds bf -22h,"[{""name"":""yogurt, plain, whole milk"",""quantity"":100,""unit"":""g"",""kcal"":77},{""name"":""blueberries, raw"",""quantity"":100,""unit"":""g"",""kcal"":57},{""name"":""nuts, almonds, whole, raw"",""quantity"":30,""unit"":""g"",""kcal"":175}]",309,breakfast,-PT22H
ate plain nonfat yogurt 200 g + 150 grams blueberries + rolled whole grain oats 70 grams kcal451 23h ago,"[{""name"":""yogurt, plain, nonfat"",""quantity"":200,""unit"":""g"",""kcal"":100},{""name"":""blueberries, raw"",""quantity"":150,""unit"":""g"",""kcal"":86},{""name"":""oats, whole grain, rolled, old fashioned"",""quantity"":70,""unit"":""g"",""kcal"":265}]",451,unknown,-PT23H
ate 1 cup 2% cottage cheese + blueberries 200g + g20 raw peanuts breakfast -11h,"[{""name"":""cheese, cottage, lowfat, 2% milkfat"",""quantity"":1,""unit"":""cup"",""kcal"":185},{""name"":""blueberries, raw"",""quantity"":200,""unit"":""g"",""kcal"":115},{""name"":""peanuts, raw"",""quantity"":20,""unit"":""g"",""kcal"":110}]",410,breakfast,-PT11H
strawberries 150 gr + 200g plain whole milk yogurt + 20g raw english walnut halves bf,"[{""name"":""strawberries, raw"",""quantity"":150,""unit"":""g"",""kcal"":47},{""name"":""yogurt, plain, whole milk"",""quantity"":200,""unit"":""g"",""kcal"":155},{""name"":""nuts, walnuts, english, halves, raw"",""quantity"":20,""unit"":""g"",""kcal"":136}]",338,breakfast,PT0M
70g rolled whole grain oats + 150 g plain nonfat yogurt + g200 strawberries snack,"[{""name"":""oats, whole grain, rolled, old fashioned"",""quantity"":70,""unit"":""g"",""kcal"":265},{""name"":""yogurt, plain, nonfat"",""quantity"":150,""unit"":""g"",""kcal"":75},{""name"":""strawberries, raw"",""quantity"":200,""unit"":""g"",""kcal"":62}]",402,snack,PT0M
plain nonfat greek yogurt 100 gr + 200 grams blueberries + rolled whole grain oats 30g +1d,"[{""name"":""yogurt, greek, plain, nonfat"",""quantity"":100,""unit"":""g"",""kcal"":61},{""name"":""blueberries, raw"",""quantity"":200,""unit"":""g"",""kcal"":115},{""name"":""oats, whole grain, rolled, old fashioned"",""quantity"":30,""unit"":""g"",""kcal"":114}]",290,unknown,P1D
1 cup 2% cottage cheese + blueberries 150 grams + raw peanuts g20 bf,"[{""name"":""cheese, cottage, lowfat, 2% milkfat"",""quantity"":1,""unit"":""cup"",""kcal"":185},{""name"":""blueberries, raw"",""quantity"":150,""unit"":""g"",""kcal"":86},{""name"":""peanuts, raw"",""quantity"":20,""unit"":""g"",""kcal"":110}]",381,breakfast,PT0M
200 g plain nonfat yogurt + 100g blueberries + 30 g whole raw almonds snack,"[{""name"":""yogurt, plain, nonfat"",""quantity"":200,""unit"":""g"",""kcal"":100},{""name"":""blueberries, raw"",""quantity"":100,""unit"":""g"",""kcal"":57},{""name"":""nuts, almonds, whole, raw"",""quantity"":30,""unit"":""g"",""kcal"":175}]",332,snack,PT0M
100 grams plain nonfat yogurt + red delicious apple 200 gr + 50g rolled whole grain oats,"[{""name"":""yogurt, plain, nonfat"",""quantity"":100,""unit"":""g"",""kcal"":50},{""name"":""apples, red delicious, with skin, raw"",""quantity"":200,""unit"":""g"",""kcal"":124},{""name"":""oats, whole grain, rolled, old fashioned"",""quantity"":50,""unit"":""g"",""kcal"":189}]",363,unknown,PT0M
0.5cup 2% cottage cheese + blueberries 100 grams + raw peanuts 20 grams snack,"[{""name"":""cheese, cottage, lowfat, 2% milkfat"",""quantity"":0.5,""unit"":""cup"",""kcal"":92},{""name"":""blueberries, raw"",""quantity"":100,""unit"":""g"",""kcal"":57},{""name"":""peanuts, raw"",""quantity"":20,""unit"":""g"",""kcal"":110}]",259,snack,PT0M
200 grams plain nonfat yogurt + 150 g strawberries + 50 grams rolled whole grain oats,"[{""name"":""yogurt, plain, nonfat"",""quantity"":200,""unit"":""g"",""kcal"":100},{""name"":""strawberries, raw"",""quantity"":150,""unit"":""g"",""kcal"":47},{""name"":""oats, whole grain, rolled, old fashioned"",""quantity"":50,""unit"":""g"",""kcal"":189}]",336,unknown,PT0M
ate plain nonfat greek yogurt 100 grams + strawberries 100 gr + raw english walnut halves g15,"[{""name"":""yogurt, greek, plain, nonfat"",""quantity"":100,""unit"":""g"",""kcal"":61},{""name"":""strawberries, raw"",""quantity"":100,""unit"":""g"",""kcal"":31},{""name"":""nuts, walnuts, english, halves, raw"",""quantity"":15,""unit"":""g"",""kcal"":102}]",194,unknown,PT0M
150 gr full fat cottage cheese + red delicious apple 150g + g20 raw peanuts,"[{""name"":""cottage cheese, full fat, large or small curd"",""quantity"":150,""unit"":""g"",""kcal"":157},{""name"":""apples, red delicious, with skin, raw"",""quantity"":150,""unit"":""g"",""kcal"":93},{""name"":""peanuts, raw"",""quantity"":20,""unit"":""g"",""kcal"":110}]",360,unknown,PT0M
2% cottage cheese 1 cup + 200g blueberries + raw english walnut halves g15 snack 2h ago,"[{""name"":""cheese, cottage, lowfat, 2% milkfat"",""quantity"":1,""unit"":""cup"",""kcal"":185},{""name"":""blueberries, raw"",""quantity"":200,""unit"":""g"",""kcal"":115},{""name"":""nuts, walnuts, english, halves, raw"",""quantity"":15,""unit"":""g"",""kcal"":102}]",402,snack,-PT2H
plain nonfat greek yogurt 150 grams + 150 g strawberries + g15 whole raw almonds 227 cal snack,"[{""name"":""yogurt, greek, plain, nonfat"",""quantity"":150,""unit"":""g"",""kcal"":92},{""name"":""strawberries, raw"",""quantity"":150,""unit"":""g"",""kcal"":47},{""name"":""nuts, almonds, whole, raw"",""quantity"":15,""unit"":""g"",""kcal"":88}]",227,snack,PT0M
ate plain nonfat greek yogurt g200 + raspberries g200 + raw peanuts 30 gr bf,"[{""name"":""yogurt, greek, plain, nonfat"",""quantity"":200,""unit"":""g"",""kcal"":122},{""name"":""raspberries, raw"",""quantity"":200,""unit"":""g"",""kcal"":103},{""name"":""peanuts, raw"",""quantity"":30,""unit"":""g"",""kcal"":165}]",390,breakfast,PT0M
ate 200 grams plain nonfat yogurt + raspberries 200 g + rolled whole grain oats g50 breakfast,"[{""name"":""yogurt, plain, nonfat"",""quantity"":200,""unit"":""g"",""kcal"":100},{""name"":""raspberries, raw"",""quantity"":200,""unit"":""g"",""kcal"":103},{""name"":""oats, whole grain, rolled, old fashioned"",""quantity"":50,""unit"":""g"",""kcal"":189}]",392,breakfast,PT0M
1 tablespoon commercial hummus + 50 grams raw roma tomato + slice1 whole wheat bread lunch,"[{""name"":""hummus, commercial"",""quantity"":1,""unit"":""tablespoon"",""kcal"":39},{""name"":""tomato, roma"",""quantity"":50,""unit"":""g"",""kcal"":9},{""name"":""bread, whole-wheat, commercially prepared"",""quantity"":1,""unit"":""slice"",""kcal"":82}]",130,lunch,PT0M
ate g150 plain nonfat yogurt + 100 g blueberries + g15 whole raw almonds,"[{""name"":""yogurt, plain, nonfat"",""quantity"":150,""unit"":""g"",""kcal"":75},{""name"":""blueberries, raw"",""quantity"":100,""unit"":""g"",""kcal"":57},{""name"":""nuts, almonds, whole, raw"",""quantity"":15,""unit"":""g"",""kcal"":88}]",220,unknown,PT0M
plain whole milk yogurt 200 grams + 150 gr blueberries + rolled whole grain oats 30 g breakfast,"[{""name"":""yogurt, plain, whole milk"",""quantity"":200,""unit"":""g"",""kcal"":155},{""name"":""blueberries, raw"",""quantity"":150,""unit"":""g"",""kcal"":86},{""name"":""oats, whole grain, rolled, old fashioned"",""quantity"":30,""unit"":""g"",""kcal"":114}]",355,breakfast,PT0M
plain nonfat yogurt 150 grams + red delicious apple 200 gr + rolled whole grain oats 50 gr snack -17h,"[{""name"":""yogurt, plain, nonfat"",""quantity"":150,""unit"":""g"",""kcal"":75},{""name"":""apples, red delicious, with skin, raw"",""quantity"":200,""unit"":""g"",""kcal"":124},{""name"":""oats, whole grain, rolled, old fashioned"",""quantity"":50,""unit"":""g"",""kcal"":189}]",388,snack,-PT17H
plain whole milk yogurt 200g + raspberries 200 g + 30 grams raw english walnut halves bf,"[{""name"":""yogurt, plain, whole milk"",""quantity"":200,""unit"":""g"",""kcal"":155},{""name"":""raspberries, raw"",""quantity"":200,""unit"":""g"",""kcal"":103},{""name"":""nuts, walnuts, english, halves, raw"",""quantity"":30,""unit"":""g"",""kcal"":204}]",462,breakfast,PT0M
plain whole milk yogurt 150 g + raspberries 150g + rolled whole grain oats 70g snack,"[{""name"":""yogurt, plain, whole milk"",""quantity"":150,""unit"":""g"",""kcal"":116},{""name"":""raspberries, raw"",""quantity"":150,""unit"":""g"",""kcal"":77},{""name"":""oats, whole grain, rolled, old fashioned"",""quantity"":70,""unit"":""g"",""kcal"":265}]",458,snack,PT0M
ate 150 gr light canned tuna in water + 100g canned black beans + raw romaine lettuce 50 gr 259 cal 8h ago,"[{""name"":""fish, tuna, light, canned in water, drained solids"",""quantity"":150,""unit"":""g"",""kcal"":135},{""name"":""beans, black, canned, sodium added, drained and rinsed"",""quantity"":100,""unit"":""g"",""kcal"":115},{""name"":""lettuce, romaine, green, raw"",""quantity"":50,""unit"":""g"",""kcal"":9}]",259,unknown,-PT8H
ate plain nonfat greek yogurt 150 gr + g100 raspberries + 15g raw english walnut halves snack 16d ago,"[{""name"":""yogurt, greek, plain, nonfat"",""quantity"":150,""unit"":""g"",""kcal"":92},{""name"":""raspberries, raw"",""quantity"":100,""unit"":""g"",""kcal"":51},{""name"":""nuts, walnuts, english, halves, raw"",""quantity"":15,""unit"":""g"",""kcal"":102}]",245,snack,-P16D
ate g100 strawberries + plain nonfat greek yogurt 200 gr + raw peanuts 20 gr breakfast 20d ago,"[{""name"":""strawberries, raw"",""quantity"":100,""unit"":""g"",""kcal"":31},{""name"":""yogurt, greek, plain, nonfat"",""quantity"":200,""unit"":""g"",""kcal"":122},{""name"":""peanuts, raw"",""quantity"":20,""unit"":""g"",""kcal"":110}]",263,breakfast,-P20D
ate 200 g blueberries + g20 raw english walnut halves + plain nonfat greek yogurt 150 g snack 22h ago,"[{""name"":""blueberries, raw"",""quantity"":200,""unit"":""g"",""kcal"":115},{""name"":""nuts, walnuts, english, halves, raw"",""quantity"":20,""unit"":""g"",""kcal"":136},{""name"":""yogurt, greek, plain, nonfat"",""quantity"":150,""unit"":""g"",""kcal"":92}]",343,snack,-PT22H
ate 150 gr full fat cottage cheese + red delicious apple 200g + whole raw almonds 20 g breakfast,"[{""name"":""cottage cheese, full fat, large or small curd"",""quantity"":150,""unit"":""g"",""kcal"":157},{""name"":""apples, red delicious, with skin, raw"",""quantity"":200,""unit"":""g"",""kcal"":124},{""name"":""nuts, almonds, whole, raw"",""quantity"":20,""unit"":""g"",""kcal"":117}]",398,breakfast,PT0M
g100 plain nonfat greek yogurt + 200 grams red delicious apple + 70g rolled whole grain oats,"[{""name"":""yogurt, greek, plain, nonfat"",""quantity"":100,""unit"":""g"",""kcal"":61},{""name"":""apples, red delicious, with skin, raw"",""quantity"":200,""unit"":""g"",""kcal"":124},{""name"":""oats, whole grain, rolled, old fashioned"",""quantity"":70,""unit"":""g"",""kcal"":265}]",450,unknown,PT0M
ate 2% cottage cheese 1cup + 200 g blueberries + raw peanuts 30 gr breakfast 22h ago,"[{""name"":""cheese, cottage, lowfat, 2% milkfat"",""quantity"":1,""unit"":""cup"",""kcal"":185},{""name"":""blueberries, raw"",""quantity"":200,""unit"":""g"",""kcal"":115},{""name"":""peanuts, raw"",""quantity"":30,""unit"":""g"",""kcal"":165}]",465,breakfast,-PT22H
ate 100 gr plain whole milk yogurt + raspberries 100 gr + whole raw almonds 15 g snack,"[{""name"":""yogurt, plain, whole milk"",""quantity"":100,""unit"":""g"",""kcal"":77},{""name"":""raspberries, raw"",""quantity"":100,""unit"":""g"",""kcal"":51},{""name"":""nuts, almonds, whole, raw"",""quantity"":15,""unit"":""g"",""kcal"":88}]",216,snack,PT0M
ate cup1 2% cottage cheese + blueberries g200 + 15 g raw peanuts snack,"[{""name"":""cheese, cottage, lowfat, 2% milkfat"",""quantity"":1,""unit"":""cup"",""kcal"":185},{""name"":""blueberries, raw"",""quantity"":200,""unit"":""g"",""kcal"":115},{""name"":""peanuts, raw"",""quantity"":15,""unit"":""g"",""kcal"":83}]",383,snack,PT0M
200g plain nonfat yogurt + blueberries 200 g + whole raw almonds 30 g breakfast,"[{""name"":""yogurt, plain, nonfat"",""quantity"":200,""unit"":""g"",""kcal"":100},{""name"":""blueberries, raw"",""quantity"":200,""unit"":""g"",""kcal"":115},{""name"":""nuts, almonds, whole, raw"",""quantity"":30,""unit"":""g"",""kcal"":175}]",390,breakfast,PT0M
ate 200g plain nonfat yogurt + red delicious apple 200 grams + 30 gr whole raw almonds,"[{""name"":""yogurt, plain, nonfat"",""quantity"":200,""unit"":""g"",""kcal"":100},{""name"":""apples, red delicious, with skin, raw"",""quantity"":200,""unit"":""g"",""kcal"":124},{""name"":""nuts, almonds, whole, raw"",""quantity"":30,""unit"":""g"",""kcal"":175}]",399,unknown,PT0M
ate red delicious apple 200 gr + raw english walnut halves 30 gr + full fat cottage cheese 200g snack 11d ago,"[{""name"":""apples, red delicious, with skin, raw"",""quantity"":200,""unit"":""g"",""kcal"":124},{""name"":""nuts, walnuts, english, halves, raw"",""quantity"":30,""unit"":""g"",""kcal"":204},{""name"":""cottage cheese, full fat, large or small curd"",""quantity"":200,""unit"":""g"",""kcal"":209}]",537,snack,-P11D
plain nonfat greek yogurt g100 + red delicious apple g100 + 30 grams whole raw almonds breakfast -30d,"[{""name"":""yogurt, greek, plain, nonfat"",""quantity"":100,""unit"":""g"",""kcal"":61},{""name"":""apples, red delicious, with skin, raw"",""quantity"":100,""unit"":""g"",""kcal"":62},{""name"":""nuts, almonds, whole, raw"",""quantity"":30,""unit"":""g"",""kcal"":175}]",298,breakfast,-P30D
plain whole milk yogurt g100 + strawberries 100 g + rolled whole grain oats 50 g,"[{""name"":""yogurt, plain, whole milk"",""quantity"":100,""unit"":""g"",""kcal"":77},{""name"":""strawberries, raw"",""quantity"":100,""unit"":""g"",""kcal"":31},{""name"":""oats, whole grain, rolled, old fashioned"",""quantity"":50,""unit"":""g"",""kcal"":189}]",297,unknown,PT0M
ate 100 gr plain nonfat yogurt + raspberries 150 grams + whole raw almonds 30 grams snack,"[{""name"":""yogurt, plain, nonfat"",""quantity"":100,""unit"":""g"",""kcal"":50},{""name"":""raspberries, raw"",""quantity"":150,""unit"":""g"",""kcal"":77},{""name"":""nuts, almonds, whole, raw"",""quantity"":30,""unit"":""g"",""kcal"":175}]",302,snack,PT0M
ate 100 gr plain whole milk yogurt + strawberries 200 grams + rolled whole grain oats 70 grams,"[{""name"":""yogurt, plain, whole milk"",""quantity"":100,""unit"":""g"",""kcal"":77},{""name"":""strawberries, raw"",""quantity"":200,""unit"":""g"",""kcal"":62},{""name"":""oats, whole grain, rolled, old fashioned"",""quantity"":70,""unit"":""g"",""kcal"":265}]",404,unknown,PT0M
ate plain whole milk yogurt g200 + red delicious apple 200 grams + raw english walnut halves 20 gr,"[{""name"":""yogurt, plain, whole milk"",""quantity"":200,""unit"":""g"",""kcal"":155},{""name"":""apples, red delicious, with skin, raw"",""quantity"":200,""unit"":""g"",""kcal"":124},{""name"":""nuts, walnuts, english, halves, raw"",""quantity"":20,""unit"":""g"",""kcal"":136}]",415,unknown,PT0M
plain whole milk yogurt g100 + 100g blueberries + raw english walnut halves 15 grams bf -12h,"[{""name"":""yogurt, plain, whole milk"",""quantity"":100,""unit"":""g"",""kcal"":77},{""name"":""blueberries, raw"",""quantity"":100,""unit"":""g"",""kcal"":57},{""name"":""nuts, walnuts, english, halves, raw"",""quantity"":15,""unit"":""g"",""kcal"":102}]",236,breakfast,-PT12H
2% cottage cheese 0.5 cups + red delicious apple 150 g + raw english walnut halves 15 gr snack 14d ago,"[{""name"":""cheese, cottage, lowfat, 2% milkfat"",""quantity"":0.5,""unit"":""cup"",""kcal"":92},{""name"":""apples, red delicious, with skin, raw"",""quantity"":150,""unit"":""g"",""kcal"":93},{""name"":""nuts, walnuts, english, halves, raw"",""quantity"":15,""unit"":""g"",""kcal"":102}]",287,snack,-P14D
g150 red delicious apple + plain whole milk yogurt g200 + raw peanuts 30 gr,"[{""name"":""apples, red delicious, with skin, raw"",""quantity"":150,""unit"":""g"",""kcal"":93},{""name"":""yogurt, plain, whole milk"",""quantity"":200,""unit"":""g"",""kcal"":155},{""name"":""peanuts, raw"",""quantity"":30,""unit"":""g"",""kcal"":165}]",413,unknown,PT0M
100 gr full fat cottage cheese + red delicious apple 100g + raw english walnut halves 15 grams snack -17d,"[{""name"":""cottage cheese, full fat, large or small curd"",""quantity"":100,""unit"":""g"",""kcal"":105},{""name"":""apples, red delicious, with skin, raw"",""quantity"":100,""unit"":""g"",""kcal"":62},{""name"":""nuts, walnuts, english, halves, raw"",""quantity"":15,""unit"":""g"",""kcal"":102}]",269,snack,-P17D
100 gr plain nonfat greek yogurt + raspberries 100g + raw peanuts 15 grams snack 23d ago,"[{""name"":""yogurt, greek, plain, nonfat"",""quantity"":100,""unit"":""g"",""kcal"":61},{""name"":""raspberries, raw"",""quantity"":100,""unit"":""g"",""kcal"":51},{""name"":""peanuts, raw"",""quantity"":15,""unit"":""g"",""kcal"":83}]",195,snack,-P23D
150g plain nonfat yogurt + whole raw almonds 20 grams + blueberries 150 grams snack 22h ago,"[{""name"":""yogurt, plain, nonfat"",""quantity"":150,""unit"":""g"",""kcal"":75},{""name"":""nuts, almonds, whole, raw"",""quantity"":20,""unit"":""g"",""kcal"":117},{""name"":""blueberries, raw"",""quantity"":150,""unit"":""g"",""kcal"":86}]",278,snack,-PT22H
plain whole milk yogurt 200g + 200 gr red delicious apple + g15 whole raw almonds snack,"[{""name"":""yogurt, plain, whole milk"",""quantity"":200,""unit"":""g"",""kcal"":155},{""name"":""apples, red delicious, with skin, raw"",""quantity"":200,""unit"":""g"",""kcal"":124},{""name"":""nuts, almonds, whole, raw"",""quantity"":15,""unit"":""g"",""kcal"":88}]",367,snack,PT0M
tbsp1 commercial hummus + raw roma tomato 150 grams + white bread 1 slice,"[{""name"":""hummus, commercial"",""quantity"":1,""unit"":""tablespoon"",""kcal"":39},{""name"":""tomato, roma"",""quantity"":150,""unit"":""g"",""kcal"":28},{""name"":""bread, white, commercially prepared"",""quantity"":1,""unit"":""slice"",""kcal"":74}]",141,unknown,PT0M
200 gr full fat cottage cheese + 150 gr blueberries + raw english walnut halves 20 g,"[{""name"":""cottage cheese, full fat, large or small curd"",""quantity"":200,""unit"":""g"",""kcal"":209},{""name"":""blueberries, raw"",""quantity"":150,""unit"":""g"",""kcal"":86},{""name"":""nuts, walnuts, english, halves, raw"",""quantity"":20,""unit"":""g"",""kcal"":136}]",431,unknown,PT0M
plain whole milk yogurt 150g + raspberries 200 gr + raw peanuts 20 gr,"[{""name"":""yogurt, plain, whole milk"",""quantity"":150,""unit"":""g"",""kcal"":116},{""name"":""raspberries, raw"",""quantity"":200,""unit"":""g"",""kcal"":103},{""name"":""peanuts, raw"",""quantity"":20,""unit"":""g"",""kcal"":110}]",329,unknown,PT0M
ate full fat cottage cheese 100 g + blueberries 200 g + raw peanuts g20,"[{""name"":""cottage cheese, full fat, large or small curd"",""quantity"":100,""unit"":""g"",""kcal"":105},{""name"":""blueberries, raw"",""quantity"":200,""unit"":""g"",""kcal"":115},{""name"":""peanuts, raw"",""quantity"":20,""unit"":""g"",""kcal"":110}]",330,unknown,PT0M
full fat cottage cheese 100 gr + raspberries 150 gr + 15g whole raw almonds bf -12d,"[{""name"":""cottage cheese, full fat, large or small curd"",""quantity"":100,""unit"":""g"",""kcal"":105},{""name"":""raspberries, raw"",""quantity"":150,""unit"":""g"",""kcal"":77},{""name"":""nuts, almonds, whole, raw"",""quantity"":15,""unit"":""g"",""kcal"":88}]",270,breakfast,-P12D
150 grams full fat cottage cheese + 150 gr strawberries + raw peanuts 15 gr 287 cal breakfast 10h ago,"[{""name"":""cottage cheese, full fat, large or small curd"",""quantity"":150,""unit"":""g"",""kcal"":157},{""name"":""strawberries, raw"",""quantity"":150,""unit"":""g"",""kcal"":47},{""name"":""peanuts, raw"",""quantity"":15,""unit"":""g"",""kcal"":83}]",287,breakfast,-PT10H
100 g plain nonfat greek yogurt + 100 grams raspberries + 15 gr whole raw almonds -26d,"[{""name"":""yogurt, greek, plain, nonfat"",""quantity"":100,""unit"":""g"",""kcal"":61},{""name"":""raspberries, raw"",""quantity"":100,""unit"":""g"",""kcal"":51},{""name"":""nuts, almonds, whole, raw"",""quantity"":15,""unit"":""g"",""kcal"":88}]",200,unknown,-P26D
1tbsp commercial hummus + white bread slice1 + raw roma tomato 100 grams snack,"[{""name"":""hummus, commercial"",""quantity"":1,""unit"":""tablespoon"",""kcal"":39},{""name"":""bread, white, commercially prepared"",""quantity"":1,""unit"":""slice"",""kcal"":74},{""name"":""tomato, roma"",""quantity"":100,""unit"":""g"",""kcal"":19}]",132,snack,PT0M
1 cup 2% cottage cheese + 150 grams strawberries + whole raw almonds 15 gr 320 cal,"[{""name"":""cheese, cottage, lowfat, 2% milkfat"",""quantity"":1,""unit"":""cup"",""kcal"":185},{""name"":""strawberries, raw"",""quantity"":150,""unit"":""g"",""kcal"":47},{""name"":""nuts, almonds, whole, raw"",""quantity"":15,""unit"":""g"",""kcal"":88}]",320,unknown,PT0M
