input,activityName,averageHeartRate,kcal,distance,distanceUnit,duration,elevationGain,pace,poolLength,poolLengthUnit,speed,steps,swimLengths
sport 2662s b103 steps2.48k 173kcal,Sport,103,173,,,2662000,,,,,,2480,
walk kcal165 31min 35sec,Walk,,165,,,1895000,,,,,,,
run 4.93 km 33 min bpm145,Run,145,,4.93,km,1980000,,401.62,,,8.96,,
sport steps1.68k 27m18s,Sport,,,,,1638000,,,,,,1680,
walk steps1.2k 91kcal 16m13s,Walk,,91,,,973000,,,,,,1200,
treadmill sec2578 km5.22,Treadmill,,,5.22,km,2578000,,493.87,,,7.29,,
walk 18.8min kcal108 steps1496,Walk,,108,,,1128000,,,,,,1496,
run 6.35km steps6732 gain125.88m bpm157 45.9min 391kcal,Run,157,391,6.35,km,2754000,125.88,433.7,,,8.3,6732,
sport 3789s step3630 kcal245 avg98,Sport,98,245,,,3789000,,,,,,3630,
aerobic workout 127b 2967 steps 160kcal 26m28s,Aerobic Workout,127,160,,,1588000,,,,,,2967,
cross country skiing avg120 68.3min,Cross Country Skiing,120,,,,4098000,,,,,,,
walk 4218steps +42.67m 44 min bpm107 216kcal,Walk,107,216,,,2640000,42.67,,,,,4218,
aerobic workout 2952 steps 105 bpm kcal182 sec1894,Aerobic Workout,105,182,,,1894000,,,,,,2952,
sport steps1388 17min 55sec,Sport,,,,,1075000,,,,,,1388,
aerobic workout 15min 21sec 1432steps kcal81 hr100,Aerobic Workout,100,81,,,921000,,,,,,1432,
hike 1.27km min31,Hike,,,1.27,km,1860000,,1464.57,,,2.46,,
walk up3.05m 34 min kcal162,Walk,,162,,,2040000,3.05,,,,,,
run up75.59m avg154 31min 38sec 262kcal,Run,154,262,,,1898000,75.59,,,,,,
tennis 5.61ksteps 2h 8min 43sec kcal453 3.72km,Tennis,,453,3.72,km,7723000,,2076.08,,,1.73,5610,
run 146bpm 4.54mi kcal363 46m18s,Run,146,363,7.31,km,2778000,,380.21,,,9.47,,
hike step5943 103 km4,Hike,,,4.0,km,6180000,,1545,,,2.33,5943,
walk gain79.25m 2765s b114,Walk,114,,,,2765000,79.25,,,,,,
run 4.7 km step4575 31.5min,Run,,,4.7,km,1890000,,402.13,,,8.95,4575,
hike 1063 steps 97.74m gain 28.3 97hr 0.63 km 111kcal,Hike,97,111,0.63,km,1698000,97.74,2695.24,,,1.34,1063,
cross country skiing 308kcal 5535steps 107bpm elev290.47m 3.83 km sec4583,Cross Country Skiing,107,308,3.83,km,4583000,290.47,1196.61,,,3.01,5535,
walk kcal206 41.8min 3925 steps 105hr,Walk,105,206,,,2508000,,,,,,3925,
run 63.5 9.15k 520kcal,Run,,520,9.15,km,3810000,,416.39,,,8.65,,
run kcal31 4min avg158 570m,Run,158,31,0.57,km,240000,,421.05,,,8.55,,
run 6757steps 4.05 mi sec3223 hr152,Run,152,,6.52,km,3223000,,494.49,,,7.28,6757,
run 7680m 52min 33sec bpm153,Run,153,,7.68,km,3153000,,410.55,,,8.77,,
walk avg107 35min 51sec up54.86m 185kcal,Walk,107,185,,,2151000,54.86,,,,,,
sport step2437 hr111 26.4min,Sport,111,,,,1584000,,,,,,2437,
walk 349kcal 6419 steps 108bpm 1h6m34s,Walk,108,349,,,3994000,,,,,,6419,
sport kcal235 45 min bpm112,Sport,112,235,,,2700000,,,,,,,
cross country skiing step2300 122b 27min,Cross Country Skiing,122,,,,1620000,,,,,,2300,
walk kcal131 elev18.29m 17m55s 99hr,Walk,99,131,,,1075000,18.29,,,,,,
walk 25min 36sec hr102 kcal221 +33.53m 2311steps,Walk,102,221,,,1536000,33.53,,,,,2311,
outdoor bike kcal170 20min 29sec 108b up37.74m,Outdoor Bike,108,170,,,1229000,37.74,,,,,,
outdoor bike 165kcal 18m46s 110hr +32m,Outdoor Bike,110,165,,,1126000,32,,,,,,
walk gain21.34m 91bpm 43 min,Walk,91,,,,2580000,21.34,,,,,,
run 3700m 408kcal 28m46s,Run,,408,3.7,km,1726000,,466.49,,,7.72,,
walk 15m22s bpm93 steps900,Walk,93,,,,922000,,,,,,900,
outdoor bike bpm106 2201sec 19.56m gain,Outdoor Bike,106,,,,2201000,19.56,,,,,,
outdoor bike kcal179 121hr 18min 42.67m gain,Outdoor Bike,121,179,,,1080000,42.67,,,,,,
outdoor bike 398kcal hr106 sec2868 24.38m gain,Outdoor Bike,106,398,,,2868000,24.38,,,,,,
walk 3419steps 54m37s,Walk,,,,,3277000,,,,,,3419,
walk elev15.24m kcal267 bpm97 40.1min,Walk,97,267,,,2406000,15.24,,,,,,
outdoor bike 17m56s avg113 kcal180,Outdoor Bike,113,180,,,1076000,,,,,,,
outdoor bike kcal177 17min 55sec,Outdoor Bike,,177,,,1075000,,,,,,,
walk b137 20m28s 265kcal 2.38k steps,Walk,137,265,,,1228000,,,,,,2380,
walk 22min 11sec 158kcal steps1.41k hr98 20.68m gain,Walk,98,158,,,1331000,20.68,,,,,1410,
walk 16.2 1124 steps 97hr,Walk,97,,,,972000,,,,,,1124,
outdoor bike 173kcal 20 min,Outdoor Bike,,173,,,1200000,,,,,,,
outdoor bike 39 min 279kcal,Outdoor Bike,,279,,,2340000,,,,,,,
walk steps1576 b110 21m20s,Walk,110,,,,1280000,,,,,,1576,
walk 154kcal avg108 18 min,Walk,108,154,,,1080000,,,,,,,
walk avg118 1.93ksteps 21.3 kcal236,Walk,118,236,,,1278000,,,,,,1930,
walk sec5888 kcal693,Walk,,693,,,5888000,,,,,,,
outdoor bike 104b 36.58m gain kcal187 22min 11sec,Outdoor Bike,104,187,,,1331000,36.58,,,,,,
outdoor bike 138kcal 1075s bpm99,Outdoor Bike,99,138,,,1075000,,,,,,,
outdoor bike kcal137 19min avg111,Outdoor Bike,111,137,,,1140000,,,,,,,
walk 58m53s 433kcal 3.54k steps bpm105,Walk,105,433,,,3533000,,,,,,3540,
walk 26m27s 181kcal,Walk,,181,,,1587000,,,,,,,
walk hr103 24.8 1.84ksteps kcal197,Walk,103,197,,,1488000,,,,,,1840,
walk 2404 steps 257kcal 33min elev45.72m 103 bpm,Walk,103,257,,,1980000,45.72,,,,,2404,
outdoor bike b108 kcal155 39.62m gain 17min,Outdoor Bike,108,155,,,1020000,39.62,,,,,,
walk 2839 steps 37.5min 102hr 295kcal,Walk,102,295,,,2250000,,,,,,2839,
walk b106 gain12.19m min20 steps1365 157kcal,Walk,106,157,,,1200000,12.19,,,,,1365,
outdoor bike 101b 9.14m gain 22min,Outdoor Bike,101,,,,1320000,9.14,,,,,,
outdoor bike 19.6min 140kcal hr97,Outdoor Bike,97,140,,,1176000,,,,,,,
run k3.8 45min 56sec,Run,,,3.8,km,2756000,,725.26,,,4.96,,
walk 101bpm 149kcal +15.24m 1178s,Walk,101,149,,,1178000,15.24,,,,,,
outdoor bike 188kcal 20.5min,Outdoor Bike,,188,,,1230000,,,,,,,
outdoor bike 19m37s kcal154 30.68m gain bpm102,Outdoor Bike,102,154,,,1177000,30.68,,,,,,
walk 1075sec bpm106 gain21.34m,Walk,106,,,,1075000,21.34,,,,,,
outdoor bike elev32.41m 21min 170kcal avg104,Outdoor Bike,104,170,,,1260000,32.41,,,,,,
outdoor bike 1126sec 97b +33.22m kcal135,Outdoor Bike,97,135,,,1126000,33.22,,,,,,
outdoor bike 45.72m gain 19 min bpm108 164kcal,Outdoor Bike,108,164,,,1140000,45.72,,,,,,
outdoor bike 25m36s 198kcal,Outdoor Bike,,198,,,1536000,,,,,,,
walk 15m22s kcal139,Walk,,139,,,922000,,,,,,,
walk avg115 min20 kcal177 15.24m gain,Walk,115,177,,,1200000,15.24,,,,,,
walk min34 kcal284 avg104 steps2874 +45.72m,Walk,104,284,,,2040000,45.72,,,,,2874,
outdoor bike 169kcal 19m38s hr107 up33.53m,Outdoor Bike,107,169,,,1178000,33.53,,,,,,
outdoor bike 170kcal 1280s bpm104,Outdoor Bike,104,170,,,1280000,,,,,,,
walk 31m35s 76.2m gain 2.71k steps,Walk,,,,,1895000,76.2,,,,,2710,
walk 15m21s step756 105hr,Walk,105,,,,921000,,,,,,756,
walk kcal233 2.3ksteps b92 32.4min,Walk,92,233,,,1944000,,,,,,2300,
walk 20 min 100bpm 131kcal gain12.19m 1251steps,Walk,100,131,,,1200000,12.19,,,,,1251,
walk hr97 1433sec kcal140,Walk,97,140,,,1433000,,,,,,,
walk kcal706 100.7min up48.77m 97hr,Walk,97,706,,,6042000,48.77,,,,,,
walk 23m54s 1.54ksteps bpm97 kcal163 +6.1m,Walk,97,163,,,1434000,6.1,,,,,1540,
treadmill 2.67 km bpm129 33min 20sec,Treadmill,129,,2.67,km,2000000,,749.06,,,4.81,,
walk 91.3min 652kcal steps6013,Walk,,652,,,5478000,,,,,,6013,
walk 15.4min kcal131 elev9.14m,Walk,,131,,,924000,9.14,,,,,,
walk 973sec 99bpm,Walk,99,,,,973000,,,,,,,
treadmill 133b 4.59k steps 30.4 kcal411 elev3.66m 4.22km,Treadmill,133,411,4.22,km,1824000,3.66,432.23,,,8.33,4590,
walk 91min 646kcal,Walk,,646,,,5460000,,,,,,,
walk 43.5min 337kcal 2.89k steps,Walk,,337,,,2610000,,,,,,2890,
walk kcal314 3071 steps 43.5min 97bpm,Walk,97,314,,,2610000,,,,,,3071,
walk kcal460 56 min bpm100 4090 steps,Walk,100,460,,,3360000,,,,,,4090,
walk 180kcal 22.2min,Walk,,180,,,1332000,,,,,,,
treadmill avg144 kcal665 44min 51sec mi3.19,Treadmill,144,665,5.13,km,2691000,,524.17,,,6.87,,
outdoor bike 20min 29sec 163kcal elev36.58m 99bpm,Outdoor Bike,99,163,,,1229000,36.58,,,,,,
outdoor bike sec2355 hr107 12.19m gain 329kcal,Outdoor Bike,107,329,,,2355000,12.19,,,,,,
walk 459kcal steps3.8k 107b 56.3min,Walk,107,459,,,3378000,,,,,,3800,
outdoor bike 111hr 29min 52sec 262kcal,Outdoor Bike,111,262,,,1792000,,,,,,,
outdoor bike avg122 18m46s 200kcal,Outdoor Bike,122,200,,,1126000,,,,,,,
outdoor bike 281kcal hr102 34m8s elev21.34m,Outdoor Bike,102,281,,,2048000,21.34,,,,,,
walk 1480steps 21.3 15.24m gain 183kcal bpm107,Walk,107,183,,,1278000,15.24,,,,,1480,
walk kcal135 step1238 1177s,Walk,,135,,,1177000,,,,,,1238,
walk 96hr 15.3min kcal119 1.08ksteps,Walk,96,119,,,918000,,,,,,1080,
walk +27.43m 104b 2352steps 30m43s,Walk,104,,,,1843000,27.43,,,,,2352,
walk 19min 37sec 144kcal,Walk,,144,,,1177000,,,,,,,
walk 34.1min 91hr up21.34m,Walk,91,,,,2046000,21.34,,,,,,
walk elev15.24m kcal136 steps1258 973sec,Walk,,136,,,973000,15.24,,,,,1258,
outdoor bike sec1126 171kcal,Outdoor Bike,,171,,,1126000,,,,,,,
outdoor bike 88kcal 17min 55sec +12.19m,Outdoor Bike,,88,,,1075000,12.19,,,,,,
walk 2201s 297kcal up36.58m bpm98,Walk,98,297,,,2201000,36.58,,,,,,
walk 1280s step2123 kcal202 hr110,Walk,110,202,,,1280000,,,,,,2123,
outdoor bike 30m43s 235kcal bpm106,Outdoor Bike,106,235,,,1843000,,,,,,,
outdoor bike 20 min 107 bpm,Outdoor Bike,107,,,,1200000,,,,,,,
walk kcal233 29min 1sec,Walk,,233,,,1741000,,,,,,,
outdoor bike 19.6min kcal179,Outdoor Bike,,179,,,1176000,,,,,,,
outdoor bike 34m59s avg107 295kcal,Outdoor Bike,107,295,,,2099000,,,,,,,
walk up21.34m avg101 kcal159 22.2min,Walk,101,159,,,1332000,21.34,,,,,,
walk 19min 38sec avg105,Walk,105,,,,1178000,,,,,,,
walk 513kcal 3481sec 105b,Walk,105,513,,,3481000,,,,,,,
walk 22min 11sec +15.24m kcal194,Walk,,194,,,1331000,15.24,,,,,,
walk 76 101hr 594kcal 5453steps,Walk,101,594,,,4560000,,,,,,5453,
outdoor bike kcal157 20m29s elev24.38m avg102,Outdoor Bike,102,157,,,1229000,24.38,,,,,,
outdoor bike 19m38s avg107,Outdoor Bike,107,,,,1178000,,,,,,,
outdoor bike 165kcal 17.9min,Outdoor Bike,,165,,,1074000,,,,,,,
outdoor bike up21.34m bpm104 26m28s,Outdoor Bike,104,,,,1588000,21.34,,,,,,
walk 35min 50sec 243kcal up6.1m,Walk,,243,,,2150000,6.1,,,,,,
outdoor bike up18.29m kcal349 2611sec,Outdoor Bike,,349,,,2611000,18.29,,,,,,
walk 21min 20sec kcal188,Walk,,188,,,1280000,,,,,,,
outdoor bike 33m17s 289kcal up33.53m,Outdoor Bike,,289,,,1997000,33.53,,,,,,
outdoor bike gain12.19m 17min 56sec kcal162 114b,Outdoor Bike,114,162,,,1076000,12.19,,,,,,
outdoor bike 153kcal b92 elev36.58m 18m47s,Outdoor Bike,92,153,,,1127000,36.58,,,,,,
outdoor bike kcal114 20m28s 93b,Outdoor Bike,93,114,,,1228000,,,,,,,
outdoor bike bpm101 min15 74kcal,Outdoor Bike,101,74,,,900000,,,,,,,
outdoor bike 33.53m gain 19m38s 190kcal 119hr,Outdoor Bike,119,190,,,1178000,33.53,,,,,,
outdoor bike kcal153 1126s 24.38m gain 104bpm,Outdoor Bike,104,153,,,1126000,24.38,,,,,,
walk 1126s 1345steps,Walk,,,,,1126000,,,,,,1345,
bike 9m55s 128 bpm kcal104,Bike,128,104,,,595000,,,,,,,
bike avg137 kcal62 5min,Bike,137,62,,,300000,,,,,,,
walk kcal191 25.6min 102b,Walk,102,191,,,1536000,,,,,,,
walk 2.39ksteps 219kcal 100 bpm sec1587,Walk,100,219,,,1587000,,,,,,2390,
walk 1690sec 1.99ksteps 239kcal,Walk,,239,,,1690000,,,,,,1990,
outdoor bike 117kcal sec1126 avg85,Outdoor Bike,85,117,,,1126000,,,,,,,
outdoor bike 131kcal 18min 46sec gain27.43m,Outdoor Bike,,131,,,1126000,27.43,,,,,,
outdoor bike kcal124 up21.18m 94hr 17.1min,Outdoor Bike,94,124,,,1026000,21.18,,,,,,
outdoor bike 132kcal 18min 46sec,Outdoor Bike,,132,,,1126000,,,,,,,
outdoor bike 18min 46sec avg104 147kcal 7.06m gain,Outdoor Bike,104,147,,,1126000,7.06,,,,,,
outdoor bike kcal145 20min hr100,Outdoor Bike,100,145,,,1200000,,,,,,,
walk avg114 kcal204 18m46s,Walk,114,204,,,1126000,,,,,,,
outdoor bike kcal101 86hr 16m13s +21.34m,Outdoor Bike,86,101,,,973000,21.34,,,,,,
walk 102hr 1802steps 24min 45sec,Walk,102,,,,1485000,,,,,,1802,
walk 101 bpm 20m29s,Walk,101,,,,1229000,,,,,,,
walk 973s bpm104,Walk,104,,,,973000,,,,,,,
walk 16.2 kcal160 step1624,Walk,,160,,,972000,,,,,,1624,
walk 1.22k steps 143kcal 1076sec,Walk,,143,,,1076000,,,,,,1220,
walk 39.2 kcal307 98hr steps2.79k,Walk,98,307,,,2352000,,,,,,2790,
walk 1h 7min 25sec 70.1m gain hr97 483kcal,Walk,97,483,,,4045000,70.1,,,,,,
walk 105b sec5120,Walk,105,,,,5120000,,,,,,,
walk b101 1h 57min 46sec,Walk,101,,,,7066000,,,,,,,
walk 97bpm 973s kcal111,Walk,97,111,,,973000,,,,,,,
walk 18min 47sec 129kcal,Walk,,129,,,1127000,,,,,,,
walk 26.4min bpm111 249kcal,Walk,111,249,,,1584000,,,,,,,
walk 101 bpm 56min gain39.62m,Walk,101,,,,3360000,39.62,,,,,,
walk step1635 16.92m gain kcal181 avg104 23m53s,Walk,104,181,,,1433000,16.92,,,,,1635,
walk min20 1.36k steps 148kcal +15.24m 103hr,Walk,103,148,,,1200000,15.24,,,,,1360,
outdoor bike kcal132 19.6min,Outdoor Bike,,132,,,1176000,,,,,,,
walk gain39.62m 1984steps 25.6min 205kcal,Walk,,205,,,1536000,39.62,,,,,1984,
walk elev36.58m 1519steps 18.8 106b 157kcal,Walk,106,157,,,1128000,36.58,,,,,1519,
walk 100b kcal429 53min 45sec steps4473,Walk,100,429,,,3225000,,,,,,4473,
walk 2.22ksteps hr102 22 min 222kcal,Walk,102,222,,,1320000,,,,,,2220,
walk 73hr kcal145 1698 steps elev20.68m 16m13s,Walk,73,145,,,973000,20.68,,,,,1698,
walk 142kcal step1095 99b 17min 4sec,Walk,99,142,,,1024000,,,,,,1095,
outdoor bike avg110 elev27.43m 21.3min kcal197,Outdoor Bike,110,197,,,1278000,27.43,,,,,,
run 153bpm 6769steps 39.4 7000 m 662kcal 91.75m gain,Run,153,662,7.0,km,2364000,91.75,337.71,,,10.66,6769,
run k7.19 43.8min 169hr kcal793,Run,169,793,7.19,km,2628000,,365.51,,,9.85,,
outdoor bike 18min 46sec +15.34m bpm96 127kcal,Outdoor Bike,96,127,,,1126000,15.34,,,,,,
outdoor bike hr112 25min 36sec kcal248,Outdoor Bike,112,248,,,1536000,,,,,,,
outdoor bike 135kcal sec1127 99hr,Outdoor Bike,99,135,,,1127000,,,,,,,
outdoor bike kcal128 93b 21min,Outdoor Bike,93,128,,,1260000,,,,,,,
outdoor bike 20.5min gain18.29m 77b 104kcal,Outdoor Bike,77,104,,,1230000,18.29,,,,,,
outdoor bike 19.6min kcal221 +15.24m,Outdoor Bike,,221,,,1176000,15.24,,,,,,
outdoor bike kcal57 up3.05m 69hr 23min 54sec,Outdoor Bike,69,57,,,1434000,3.05,,,,,,
treadmill 30 476kcal 4.88k,Treadmill,,476,4.88,km,1800000,,368.85,,,9.76,,
treadmill 500kcal k5.27 sec1938 b142,Treadmill,142,500,5.27,km,1938000,,367.74,,,9.79,,
treadmill 35min 19sec 5467steps,Treadmill,,,,,2119000,,,,,,5467,
treadmill mi4.83 56.7,Treadmill,,,7.77,km,3402000,,437.66,,,8.23,,
treadmill up105.46m mi4.46 steps7.47k 46.1 bpm135 kcal676,Treadmill,135,676,7.18,km,2766000,105.46,385.36,,,9.34,7470,
treadmill 35min 58sec 520kcal 5km,Treadmill,,520,5.0,km,2158000,,431.6,,,8.34,,
treadmill 7km 7256 steps 118b 45m32s 204.22m gain 580kcal,Treadmill,118,580,7.0,km,2732000,204.22,390.29,,,9.22,7256,
walk 105b 15 min kcal137,Walk,105,137,,,900000,,,,,,,
run min40 km6.7,Run,,,6.7,km,2400000,,358.21,,,10.05,,
run min32 mi2.82 step4985,Run,,,4.54,km,1920000,,423.06,,,8.51,4985,
walk 3.02k steps 110b 25.6min 285kcal,Walk,110,285,,,1536000,,,,,,3020,
walk 104b 2869steps 256kcal 24.8min,Walk,104,256,,,1488000,,,,,,2869,
outdoor bike 115 bpm 23m2s 21.34m gain kcal235,Outdoor Bike,115,235,,,1382000,21.34,,,,,,
outdoor bike 1075s 12.19m gain 84kcal b83,Outdoor Bike,83,84,,,1075000,12.19,,,,,,
outdoor bike bpm116 15.24m gain 23min 54sec kcal241,Outdoor Bike,116,241,,,1434000,15.24,,,,,,
outdoor bike 20.5min 88b 82kcal,Outdoor Bike,88,82,,,1230000,,,,,,,
treadmill 2.29k steps 16m10s 147bpm mi1.21,Treadmill,147,,1.95,km,970000,,498.12,,,7.23,2290,
treadmill 3.6k 24.6min,Treadmill,,,3.6,km,1476000,,410,,,8.78,,
treadmill 4300m 30.4min,Treadmill,,,4.3,km,1824000,,424.19,,,8.49,,
run hr150 40m21s 6.5k steps,Run,150,,,,2421000,,,,,,6500,
walk b100 kcal164 gain12.19m 20m6s step1460,Walk,100,164,,,1206000,12.19,,,,,1460,
walk 1.48ksteps 1229s hr100 169kcal,Walk,100,169,,,1229000,,,,,,1480,
treadmill steps4809 +35.36m 33.1min bpm135 kcal419 4.04km,Treadmill,135,419,4.04,km,1986000,35.36,491.58,,,7.32,4809,
walk elev9.14m kcal160 16.2min,Walk,,160,,,972000,9.14,,,,,,
walk 15.3 kcal150 1.68k steps hr94 elev15.24m,Walk,94,150,,,918000,15.24,,,,,1680,
treadmill 128hr 4.61 km 40 min 5786steps 512kcal 143.26m gain,Treadmill,128,512,4.61,km,2400000,143.26,520.61,,,6.92,5786,
treadmill km3.72 30min 3sec 4568steps,Treadmill,,,3.72,km,1803000,,484.68,,,7.43,4568,
outdoor bike 19min 37sec +3.05m avg99 kcal146,Outdoor Bike,99,146,,,1177000,3.05,,,,,,
outdoor bike 116hr 221kcal min22,Outdoor Bike,116,221,,,1320000,,,,,,,
treadmill km2.51 376kcal 1822sec hr127,Treadmill,127,376,2.51,km,1822000,,725.9,,,4.96,,
outdoor bike 120bpm 22m12s elev60.96m 234kcal,Outdoor Bike,120,234,,,1332000,60.96,,,,,,
run kcal558 38 6.2k 144hr,Run,144,558,6.2,km,2280000,,367.74,,,9.79,,
treadmill 30m8s 2.9mi 126bpm 382kcal steps4.81k up103.94m,Treadmill,126,382,4.67,km,1808000,103.94,387.39,,,9.29,4810,
run 40.4min kcal582,Run,,582,,,2424000,,,,,,,
outdoor bike 21.34m gain 19m37s,Outdoor Bike,,,,,1177000,21.34,,,,,,
outdoor bike 226kcal 112b 23min 24.38m gain,Outdoor Bike,112,226,,,1380000,24.38,,,,,,
outdoor bike 94 bpm kcal131 17min 55sec gain33.53m,Outdoor Bike,94,131,,,1075000,33.53,,,,,,
treadmill 5610 m bpm138 529kcal 37min 4sec,Treadmill,138,529,5.61,km,2224000,,396.43,,,9.08,,
outdoor bike hr118 sec1280 up30.48m kcal223,Outdoor Bike,118,223,,,1280000,30.48,,,,,,
outdoor bike 21m20s 30.48m gain b97 144kcal,Outdoor Bike,97,144,,,1280000,30.48,,,,,,
outdoor bike elev12.19m 161kcal b97 24.7min,Outdoor Bike,97,161,,,1482000,12.19,,,,,,
outdoor bike 102kcal 17min 55sec 87 bpm,Outdoor Bike,87,102,,,1075000,,,,,,,
outdoor bike 1434sec +15.24m kcal201,Outdoor Bike,,201,,,1434000,15.24,,,,,,
outdoor bike 1178s 93bpm up15.24m kcal124,Outdoor Bike,93,124,,,1178000,15.24,,,,,,
outdoor bike up6.1m sec1536 avg102,Outdoor Bike,102,,,,1536000,6.1,,,,,,
outdoor bike 23.9min kcal112,Outdoor Bike,,112,,,1434000,,,,,,,
walk steps2241 37min 33sec 253kcal,Walk,,253,,,2253000,,,,,,2241,
treadmill sec1206 km2.95,Treadmill,,,2.95,km,1206000,,408.81,,,8.81,,
outdoor bike 9.14m gain 25.6min 225kcal hr109,Outdoor Bike,109,225,,,1536000,9.14,,,,,,
outdoor bike 83 bpm 105kcal +30.48m 20 min,Outdoor Bike,83,105,,,1200000,30.48,,,,,,
treadmill 30min 6sec hr111 319kcal 2.88 km,Treadmill,111,319,2.88,km,1806000,,627.08,,,5.74,,
outdoor bike up15.24m 106bpm 209kcal 25min,Outdoor Bike,106,209,,,1500000,15.24,,,,,,
outdoor bike up15.24m min22 93 bpm 146kcal,Outdoor Bike,93,146,,,1320000,15.24,,,,,,
outdoor bike 203kcal +15.24m 105b 23.9min,Outdoor Bike,105,203,,,1434000,15.24,,,,,,
outdoor bike 93hr 113kcal 19min 38sec,Outdoor Bike,93,113,,,1178000,,,,,,,
walk bpm110 1.86ksteps kcal189 17m56s,Walk,110,189,,,1076000,,,,,,1860,
walk 22.2min bpm101 171kcal gain3.05m,Walk,101,171,,,1332000,3.05,,,,,,
treadmill 116 bpm 30min 4sec,Treadmill,116,,,,1804000,,,,,,,
outdoor bike avg113 25min 36sec 232kcal +12.19m,Outdoor Bike,113,232,,,1536000,12.19,,,,,,
outdoor bike kcal106 min22,Outdoor Bike,,106,,,1320000,,,,,,,
outdoor bike 25.6min gain6.1m 174kcal,Outdoor Bike,,174,,,1536000,6.1,,,,,,
outdoor bike 17.1min 107kcal,Outdoor Bike,,107,,,1026000,,,,,,,
walk +3.05m 103 bpm kcal260 step2819 28min,Walk,103,260,,,1680000,3.05,,,,,2819,
walk step2597 up21.34m 23 min 107hr,Walk,107,,,,1380000,21.34,,,,,2597,
outdoor bike 22min 9.14m gain kcal146,Outdoor Bike,,146,,,1320000,9.14,,,,,,
outdoor bike 17.9min 71b kcal68 6.1m gain,Outdoor Bike,71,68,,,1074000,6.1,,,,,,
outdoor bike hr77 +27.43m 101kcal 23m53s,Outdoor Bike,77,101,,,1433000,27.43,,,,,,
outdoor bike 18.8min +18.29m 122kcal,Outdoor Bike,,122,,,1128000,18.29,,,,,,
walk 1485sec bpm101 kcal215 2.23k steps,Walk,101,215,,,1485000,,,,,,2230,
treadmill 138b 3.32k steps 20m12s gain10.67m kcal290 1.9mi,Treadmill,138,290,3.06,km,1212000,10.67,396.37,,,9.08,3320,
walk kcal153 1528steps gain9.14m hr99 972s,Walk,99,153,,,972000,9.14,,,,,1528,
walk 19min 96bpm 21.34m gain 1.47k steps,Walk,96,,,,1140000,21.34,,,,,1470,
outdoor bike +18.29m kcal118 b87 20min 29sec,Outdoor Bike,87,118,,,1229000,18.29,,,,,,
outdoor bike sec1177 110kcal gain21.34m,Outdoor Bike,,110,,,1177000,21.34,,,,,,
treadmill 303kcal km2.88 steps3.24k +86.87m 146bpm 20m13s,Treadmill,146,303,2.88,km,1213000,86.87,421.18,,,8.55,3240,
run sec152 0.26 km,Run,,,0.26,km,152000,,584.62,,,6.16,,
outdoor bike avg105 1382s 176kcal,Outdoor Bike,105,176,,,1382000,,,,,,,
outdoor bike 1075s kcal99 bpm87 up15.24m,Outdoor Bike,87,99,,,1075000,15.24,,,,,,
outdoor bike 179kcal up9.14m 112b 1177sec,Outdoor Bike,112,179,,,1177000,9.14,,,,,,
outdoor bike 89bpm 20 min kcal113 gain15.24m,Outdoor Bike,89,113,,,1200000,15.24,,,,,,
run 1070s 1380m,Run,,,1.38,km,1070000,,775.36,,,4.64,,
walk kcal271 22.2 2640 steps,Walk,,271,,,1332000,,,,,,2640,
outdoor bike hr99 1485sec kcal170,Outdoor Bike,99,170,,,1485000,,,,,,,
outdoor bike kcal120 20m29s avg84,Outdoor Bike,84,120,,,1229000,,,,,,,
treadmill 3690m 24m55s bpm156,Treadmill,156,,3.69,km,1495000,,405.15,,,8.89,,
walk steps1.63k 17.1min 175kcal up6.1m,Walk,,175,,,1026000,6.1,,,,,1630,
walk kcal203 +21.34m 20.5min,Walk,,203,,,1230000,21.34,,,,,,
walk up27.43m 18.8 kcal148 1.42k steps,Walk,,148,,,1128000,27.43,,,,,1420,
outdoor bike gain18.29m b115 24 min kcal236,Outdoor Bike,115,236,,,1440000,18.29,,,,,,
outdoor bike 125kcal 17min 55sec,Outdoor Bike,,125,,,1075000,,,,,,,
run 4min 423 steps,Run,,,,,240000,,,,,,423,
outdoor bike 25min 36sec +9.14m,Outdoor Bike,,,,,1536000,9.14,,,,,,
outdoor bike 84bpm 82kcal gain6.1m 20min 29sec,Outdoor Bike,84,82,,,1229000,6.1,,,,,,
run 10min 22sec k0.91,Run,,,0.91,km,622000,,683.52,,,5.27,,
outdoor bike avg119 26m27s kcal289 elev6.1m,Outdoor Bike,119,289,,,1587000,6.1,,,,,,
outdoor bike 21m20s kcal188 b106,Outdoor Bike,106,188,,,1280000,,,,,,,
treadmill 3.38 km b128 elev63.09m steps4103 kcal342 25,Treadmill,128,342,3.38,km,1500000,63.09,443.79,,,8.11,4103,
outdoor bike 25min 36sec gain9.14m kcal239,Outdoor Bike,,239,,,1536000,9.14,,,,,,
outdoor bike 19.6min 128kcal elev24.38m,Outdoor Bike,,128,,,1176000,24.38,,,,,,
treadmill step4527 3590 m 403kcal gain74.68m 2067sec b130,Treadmill,130,403,3.59,km,2067000,74.68,575.77,,,6.25,4527,
outdoor bike gain33.53m 285kcal 22.2min 129b,Outdoor Bike,129,285,,,1332000,33.53,,,,,,
outdoor bike kcal167 105hr 19m38s,Outdoor Bike,105,167,,,1178000,,,,,,,
outdoor bike kcal277 gain21.34m 23m2s bpm128,Outdoor Bike,128,277,,,1382000,21.34,,,,,,
