input,transactionType,amount,currency,category,description,timeOffset,fromAccount,toAccount
bonda €0.33 -25d,expense,0.33,EUR,food_drink,Bonda,-P25D,,
snacks 1.57usd 2 hours ago,expense,1.57,USD,food_drink,Snacks,-PT2H,,
got +0.28€ gpay,income,0.28,EUR,other_income,Gpay,PT0M,,
auto 0.22 eur 8h ago,expense,0.22,EUR,transport,Auto,-PT8H,,
spent 0.78 eur snacks,expense,0.78,EUR,food_drink,Snacks,PT0M,,
spent 0.06e adjust balance,expense,0.06,EUR,balance_adjustment,Adjust balance,PT0M,,
printouts -0.11€,expense,0.11,EUR,education,Printouts,PT0M,,
spent 0.17€ coke,expense,0.17,EUR,food_drink,Coke,PT0M,,
got +1.06€ adjust balance 12 days ago,income,1.06,EUR,balance_adjustment,Adjust balance,-P12D,,
auto -€0.22,expense,0.22,EUR,transport,Auto,PT0M,,
spent €5.56 withdraw in 1d,expense,5.56,EUR,other,Withdraw,P1D,,
auto -0.22e,expense,0.22,EUR,transport,Auto,PT0M,,
adjust balance 13.7 den,expense,13.7,MKD,balance_adjustment,Adjust balance,PT0M,,
bus -0.11 eur,expense,0.11,EUR,transport,Bus,PT0M,,
bus 6.85mkd,expense,6.85,MKD,transport,Bus,PT0M,,
withdraw savings bank 82.19 MKD to cash,transfer,82.19,MKD,transfer,Withdraw,PT0M,Savings Bank,Cash
spent €0.22 auto,expense,0.22,EUR,transport,Auto,PT0M,,
+0.89€ adjust balance,income,0.89,EUR,balance_adjustment,Adjust balance,PT0M,,
auto 0.22€,expense,0.22,EUR,transport,Auto,PT0M,,
bus €0.11 3 days ago,expense,0.11,EUR,transport,Bus,-P3D,,
bus -0.11 eur -27d,expense,0.11,EUR,transport,Bus,-P27D,,
auto 0.22 eur 13 days ago,expense,0.22,EUR,transport,Auto,-P13D,,
snacks -0.83€ 1h ago,expense,0.83,EUR,food_drink,Snacks,-PT1H,,
jalebi 0.56€ tomorrow,expense,0.56,EUR,food_drink,Jalebi,P1D,,
bus €0.11 -11d,expense,0.11,EUR,transport,Bus,-P11D,,
auto 0.22 eur,expense,0.22,EUR,transport,Auto,PT0M,,
bus -0.11€ 19 hours ago,expense,0.11,EUR,transport,Bus,-PT19H,,
spent €0.39 rta,expense,0.39,EUR,transport,RtA,PT0M,,
spent 0.22 eur bus,expense,0.22,EUR,transport,Bus,PT0M,,
spent €0.11 adjust balance,expense,0.11,EUR,balance_adjustment,Adjust balance,PT0M,,
+2.44€ person_b,income,2.44,EUR,other_income,person_b,PT0M,,
spent 0.39 eur atrr 10 hours ago,expense,0.39,EUR,transport,AtrR,-PT10H,,
rta -0.39€,expense,0.39,EUR,transport,RtA,PT0M,,
atrr -0.39 eur 4 hours ago,expense,0.39,EUR,transport,AtrR,-PT4H,,
bus 0.22€,expense,0.22,EUR,transport,Bus,PT0M,,
biryani 🍚 6.27 USD,expense,6.27,USD,food_drink,Biryani 🍚,PT0M,,
shawarma 🌯 -1.69 dollar,expense,1.69,USD,food_drink,Shawarma 🌯,PT0M,,
spent 6.13€ lunch payup -23h,expense,6.13,EUR,peer_transfer,Lunch payup,-PT23H,,
spent 111.11e family_member_a,expense,111.11,EUR,peer_transfer,family_member_a,PT0M,,
+247.59e salary,income,247.59,EUR,salary,Salary,PT0M,,
person_b -0.22€ 1h ago,expense,0.22,EUR,peer_transfer,person_b,-PT1H,,
auto €0.22,expense,0.22,EUR,transport,Auto,PT0M,,
spent 13.7 ден juice,expense,13.7,MKD,food_drink,Juice,PT0M,,
atrr -0.39e,expense,0.39,EUR,transport,AtrR,PT0M,,
bus -0.11 eur 2 hours ago,expense,0.11,EUR,transport,Bus,-PT2H,,
spent 0.33€ snacks,expense,0.33,EUR,food_drink,Snacks,PT0M,,
shampoo -0.04€ -14d,expense,0.04,EUR,personal_care,Shampoo,-P14D,,
auto -€0.22,expense,0.22,EUR,transport,Auto,PT0M,,
spent 0.21€ adjust balance 4h ago,expense,0.21,EUR,balance_adjustment,Adjust balance,-PT4H,,
spent $9.64 exam fees -30d,expense,9.64,USD,education,Exam fees,-P30D,,
snacks -0.39 eur 18 days ago,expense,0.39,EUR,food_drink,Snacks,-P18D,,
bus -0.11 eur 26 days ago,expense,0.11,EUR,transport,Bus,-P26D,,
atrr -0.39e -5d,expense,0.39,EUR,transport,AtrR,-P5D,,
spent 0.56e something 1d ago,expense,0.56,EUR,other,Something,-P1D,,
recharge savings bank 2.22e to metro card,transfer,2.22,EUR,transfer,Recharge,PT0M,Savings Bank,Metro Card
atrr €0.39,expense,0.39,EUR,transport,AtrR,PT0M,,
bus 0.11€ in 1d,expense,0.11,EUR,transport,Bus,P1D,,
curd -0.51e 18 days ago,expense,0.51,EUR,food_drink,Curd,-P18D,,
snacks 0.33€,expense,0.33,EUR,food_drink,Snacks,PT0M,,
bus 0.11€,expense,0.11,EUR,transport,Bus,PT0M,,
spent 2.22€ person_b pass,expense,2.22,EUR,peer_transfer,person_b pass,PT0M,,
atrr -€0.39 -22h,expense,0.39,EUR,transport,AtrR,-PT22H,,
recharge 2.88 eur,expense,2.88,EUR,utilities,Recharge,PT0M,,
spent €0.11 bus,expense,0.11,EUR,transport,Bus,PT0M,,
family_member_b 0.56 eur 5h ago,expense,0.56,EUR,peer_transfer,family_member_b,-PT5H,,
atr -23.97 den 10 days ago,expense,23.97,MKD,transport,AtR,-P10D,,
+0.22e adjust balance,income,0.22,EUR,balance_adjustment,Adjust balance,PT0M,,
bus pass 294.52 den,expense,294.52,MKD,transport,Bus pass,PT0M,,
spent 0.22 eur auto,expense,0.22,EUR,transport,Auto,PT0M,,
spent 6.85 ден bus 10h ago,expense,6.85,MKD,transport,Bus,-PT10H,,
withdraw 2.22 eur savings bank to cash,transfer,2.22,EUR,transfer,Withdraw,PT0M,Savings Bank,Cash
saman -1.84 USD 19 days ago,expense,1.84,USD,other,Saman,-P19D,,
bus -0.11 eur -16h,expense,0.11,EUR,transport,Bus,-PT16H,,
atr -0.39e,expense,0.39,EUR,transport,AtR,PT0M,,
rta 0.42 dollar -12h,expense,0.42,USD,transport,RtA,-PT12H,,
bus 0.11 eur,expense,0.11,EUR,transport,Bus,PT0M,,
spent 0.22 eur adjust balance 17 days ago,expense,0.22,EUR,balance_adjustment,Adjust balance,-P17D,,
spent 0.39 eur atr,expense,0.39,EUR,transport,AtR,PT0M,,
recharge €2.22 savings bank to metro card,transfer,2.22,EUR,transfer,Recharge,PT0M,Savings Bank,Metro Card
spent 0.39 eur atr,expense,0.39,EUR,transport,AtR,PT0M,,
+0.15 eur adjust balance 18 hours ago,income,0.15,EUR,balance_adjustment,Adjust balance,-PT18H,,
auto -€0.22,expense,0.22,EUR,transport,Auto,PT0M,,
family_member_b -0.22e,expense,0.22,EUR,peer_transfer,family_member_b,PT0M,,
spent 68.49 ден print,expense,68.49,MKD,education,Print,PT0M,,
atr 0.39 eur,expense,0.39,EUR,transport,AtR,PT0M,,
snacks €0.78,expense,0.78,EUR,food_drink,Snacks,PT0M,,
spent 11.67e clothes -15d,expense,11.67,EUR,shopping,Clothes,-P15D,,
clothes €17.86,expense,17.86,EUR,shopping,Clothes,PT0M,,
spent 1.17€ snacks,expense,1.17,EUR,food_drink,Snacks,PT0M,,
spent €1.56 snacks,expense,1.56,EUR,food_drink,Snacks,PT0M,,
bus -6.85 den,expense,6.85,MKD,transport,Bus,PT0M,,
auto -0.22 eur,expense,0.22,EUR,transport,Auto,PT0M,,
haircut -1.67e,expense,1.67,EUR,personal_care,Haircut,PT0M,,
spent 0.11€ bus 17 hours ago,expense,0.11,EUR,transport,Bus,-PT17H,,
spent 0.42 dollar rta,expense,0.42,USD,transport,RtA,PT0M,,
spent 23.97 ден atr,expense,23.97,MKD,transport,AtR,PT0M,,
spent 0.39e atr 18 hours ago,expense,0.39,EUR,transport,AtR,-PT18H,,
rta -23.97mkd,expense,23.97,MKD,transport,RtA,PT0M,,
bus -€0.11 13 hours ago,expense,0.11,EUR,transport,Bus,-PT13H,,
spent 0.39 eur rta,expense,0.39,EUR,transport,RtA,PT0M,,
atr 0.39e -17d,expense,0.39,EUR,transport,AtR,-P17D,,
dishtv 2.44 eur,expense,2.44,EUR,utilities,DishTV,PT0M,,
juice -0.11e 12 hours ago,expense,0.11,EUR,food_drink,Juice,-PT12H,,
recharge 2.22 eur savings bank to metro card,transfer,2.22,EUR,transfer,Recharge,PT0M,Savings Bank,Metro Card
rta -0.39 eur,expense,0.39,EUR,transport,RtA,PT0M,,
electricity -8.6e,expense,8.6,EUR,utilities,Electricity,PT0M,,
atr 23.97 ден 17 hours ago,expense,23.97,MKD,transport,AtR,-PT17H,,
rapido 0.49 eur,expense,0.49,EUR,transport,Rapido,PT0M,,
spent 0.39 eur atr,expense,0.39,EUR,transport,AtR,PT0M,,
maida 17.12 ден,expense,17.12,MKD,groceries,Maida,PT0M,,
adjust -0.33€ 10h ago,expense,0.33,EUR,balance_adjustment,Adjust,-PT10H,,
spent €1.56 person_c 5 days ago,expense,1.56,EUR,peer_transfer,person_c,-P5D,,
printouts -4.28€,expense,4.28,EUR,education,Printouts,PT0M,,
treat 7.22e 3 days ago,expense,7.22,EUR,food_drink,Treat,-P3D,,
+€26.67 person_b,income,26.67,EUR,other_income,person_b,PT0M,,
seminar print -€1.16,expense,1.16,EUR,education,Seminar print,PT0M,,
atr 0.39 eur 2h ago,expense,0.39,EUR,transport,AtR,-PT2H,,
amazon 21.1€,expense,21.1,EUR,shopping,Amazon,PT0M,,
atr -0.39 eur 23d ago,expense,0.39,EUR,transport,AtR,-P23D,,
grocery -25.79e,expense,25.79,EUR,groceries,Grocery,PT0M,,
biryani 5.78e,expense,5.78,EUR,food_drink,Biryani,PT0M,,
recharge 2.41usd savings bank to metro card 6d ago,transfer,2.41,USD,transfer,Recharge,-P6D,Savings Bank,Metro Card
atr -€0.39 3 days ago,expense,0.39,EUR,transport,AtR,-P3D,,
bus -0.11 eur 13d ago,expense,0.11,EUR,transport,Bus,-P13D,,
bus 0.11e,expense,0.11,EUR,transport,Bus,PT0M,,
shampoo -2.74 ден,expense,2.74,MKD,personal_care,Shampoo,PT0M,,
salary +7556.85mkd -1d,income,7556.85,MKD,salary,Salary,-P1D,,
spent 0.11 eur bus 3d ago,expense,0.11,EUR,transport,Bus,-P3D,,
atr -€0.39,expense,0.39,EUR,transport,AtR,PT0M,,
bus -€0.22,expense,0.22,EUR,transport,Bus,PT0M,,
bus 13.7 ден,expense,13.7,MKD,transport,Bus,PT0M,,
snacks €0.33,expense,0.33,EUR,food_drink,Snacks,PT0M,,
atr €0.39 7h ago,expense,0.39,EUR,transport,AtR,-PT7H,,
spent 0.11€ bus 16d ago,expense,0.11,EUR,transport,Bus,-P16D,,
recharge 1.11e savings bank to metro card -2d,transfer,1.11,EUR,transfer,Recharge,-P2D,Savings Bank,Metro Card
atr 23.97 ден,expense,23.97,MKD,transport,AtR,PT0M,,
spent €0.11 bus 24d ago,expense,0.11,EUR,transport,Bus,-P24D,,
person_b $2.41 -30d,expense,2.41,USD,peer_transfer,person_b,-P30D,,
spent 6.85 den bus,expense,6.85,MKD,transport,Bus,PT0M,,
adjust balance 0.39e,expense,0.39,EUR,balance_adjustment,Adjust balance,PT0M,,
adjust balance €0.49 5 hours ago,expense,0.49,EUR,balance_adjustment,Adjust balance,-PT5H,,
spent 0.67 eur person_h payup -6d,expense,0.67,EUR,peer_transfer,person_h Payup,-P6D,,
recharge 5.23 eur 1 hours ago,expense,5.23,EUR,utilities,Recharge,-PT1H,,
got +€6.67 family_member_a 19 hours ago,income,6.67,EUR,family_support,family_member_a,-PT19H,,
spent 243.84 ден biryani 🍚 4h ago,expense,243.84,MKD,food_drink,Biryani 🍚,-PT4H,,
family_member_b +2.41 USD,income,2.41,USD,family_support,family_member_b,PT0M,,
spent 1.56€ egg roll 🌯 1h ago,expense,1.56,EUR,food_drink,Egg Roll 🌯,-PT1H,,
bus pass 💳 -4.89e 13 hours ago,expense,4.89,EUR,transport,Bus Pass 💳,-PT13H,,
adjust 0.44e 26 days ago,expense,0.44,EUR,balance_adjustment,Adjust,-P26D,,
rapido 🚲 €0.82,expense,0.82,EUR,transport,Rapido 🚲,PT0M,,
adjust -0.11e 7 hours ago,expense,0.11,EUR,balance_adjustment,Adjust,-PT7H,,
spent 1.93usd egg roll 🌯 11 hours ago,expense,1.93,USD,food_drink,Egg roll 🌯,-PT11H,,
person_h paid +0.72usd -23h,income,0.72,USD,other_income,person_h Paid,-PT23H,,
recharge -177.4 MKD,expense,177.4,MKD,utilities,Recharge,PT0M,,
bus -0.33e in 1d,expense,0.33,EUR,transport,Bus,P1D,,
bus -0.22e 25 days ago,expense,0.22,EUR,transport,Bus,-P25D,,
spent 0.33€ snacks 20 hours ago,expense,0.33,EUR,food_drink,Snacks,-PT20H,,
family_member_b 34.25 ден,expense,34.25,MKD,peer_transfer,family_member_b,PT0M,,
spent €0.33 juice 5 hours ago,expense,0.33,EUR,food_drink,Juice,-PT5H,,
spent 0.22 eur auto -18d,expense,0.22,EUR,transport,Auto,-P18D,,
bus -20.55 den,expense,20.55,MKD,transport,Bus,PT0M,,
pta -0.11€ -17d,expense,0.11,EUR,transport,PtA,-P17D,,
spent 0.39e htp,expense,0.39,EUR,transport,HtP,PT0M,,
atr -23.97 den,expense,23.97,MKD,transport,AtR,PT0M,,
spent 0.33€ bus,expense,0.33,EUR,transport,Bus,PT0M,,
rta -€0.5,expense,0.5,EUR,transport,RtA,PT0M,,
spent 0.39 eur atr tomorrow,expense,0.39,EUR,transport,AtR,P1D,,
recharge savings bank $0.6 to metro card,transfer,0.6,USD,transfer,Recharge,PT0M,Savings Bank,Metro Card
spent 20.55 ден snacks -6d,expense,20.55,MKD,food_drink,Snacks,-P6D,,
withdraw 5.56e savings bank to cash 6 hours ago,transfer,5.56,EUR,transfer,Withdraw,-PT6H,Savings Bank,Cash
bus -6.85 den,expense,6.85,MKD,transport,Bus,PT0M,,
atr 0.39 eur 13 days ago,expense,0.39,EUR,transport,AtR,-P13D,,
got +0.22e adjust balance,income,0.22,EUR,balance_adjustment,Adjust balance,PT0M,,
recharge 2.22€ savings bank to metro card -12d,transfer,2.22,EUR,transfer,Recharge,-P12D,Savings Bank,Metro Card
stonks -1.23€,expense,1.23,EUR,financial,Stonks,PT0M,,
bus -€0.11,expense,0.11,EUR,transport,Bus,PT0M,,
bus -€0.11 in 1d,expense,0.11,EUR,transport,Bus,P1D,,
metro €0.39 6 hours ago,expense,0.39,EUR,transport,Metro,-PT6H,,
person_b 684.93 den 3 hours ago,expense,684.93,MKD,peer_transfer,person_b,-PT3H,,
spent 22.22 eur family_member_a +1d,expense,22.22,EUR,peer_transfer,family_member_a,P1D,,
got +55.56€ capt. payment,income,55.56,EUR,other_income,Capt. Payment,PT0M,,
adjust balance 0.39e 7h ago,expense,0.39,EUR,balance_adjustment,Adjust balance,-PT7H,,
adjust balance +0.1usd 19d ago,income,0.1,USD,balance_adjustment,Adjust balance,-P19D,,
auto 0.22e,expense,0.22,EUR,transport,Auto,PT0M,,
auto -0.22e -14h,expense,0.22,EUR,transport,Auto,-PT14H,,
auto -13.7 ден -22d,expense,13.7,MKD,transport,Auto,-P22D,,
got +€1 family_member_a,income,1,EUR,family_support,family_member_a,PT0M,,
spent 0.22€ auto,expense,0.22,EUR,transport,Auto,PT0M,,
spent 6.85 MKD bus -16d,expense,6.85,MKD,transport,Bus,-P16D,,
family_member_a €5.56 17 hours ago,expense,5.56,EUR,peer_transfer,family_member_a,-PT17H,,
snacks 0.61 eur,expense,0.61,EUR,food_drink,Snacks,PT0M,,
spent €0.33 auto+bus,expense,0.33,EUR,transport,Auto+Bus,PT0M,,
spent $6.02 family_member_a,expense,6.02,USD,peer_transfer,family_member_a,PT0M,,
spent 0.78€ snacks,expense,0.78,EUR,food_drink,Snacks,PT0M,,
adjust balance -0.04e,expense,0.04,EUR,balance_adjustment,Adjust balance,PT0M,,
family_member_a €11.11 -9d,expense,11.11,EUR,peer_transfer,family_member_a,-P9D,,
person_b 0.22 eur,expense,0.22,EUR,peer_transfer,person_b,PT0M,,
spent €0.22 auto,expense,0.22,EUR,transport,Auto,PT0M,,
person_c -€0.44,expense,0.44,EUR,peer_transfer,person_c,PT0M,,
got +0.03e interest 2h ago,income,0.03,EUR,interest,Interest,-PT2H,,
spent 0.28€ snacks,expense,0.28,EUR,food_drink,Snacks,PT0M,,
jalebi €0.22,expense,0.22,EUR,food_drink,Jalebi,PT0M,,
auto 0.22€ 27d ago,expense,0.22,EUR,transport,Auto,-P27D,,
bus 0.11 eur -5h,expense,0.11,EUR,transport,Bus,-PT5H,,
spent 177.4 ден recharge 15h ago,expense,177.4,MKD,utilities,Recharge,-PT15H,,
spent €0.22 adjust balance -16d,expense,0.22,EUR,balance_adjustment,Adjust balance,-P16D,,
spent €0.44 adjust balance -11h,expense,0.44,EUR,balance_adjustment,Adjust balance,-PT11H,,
spent €0.22 auto 24 days ago,expense,0.22,EUR,transport,Auto,-P24D,,
spent 0.11e bus 29 days ago,expense,0.11,EUR,transport,Bus,-P29D,,
person_b €0.56 -12h,expense,0.56,EUR,peer_transfer,person_b,-PT12H,,
auto -0.22€,expense,0.22,EUR,transport,Auto,PT0M,,
got +2055.48 den advance -28d,income,2055.48,MKD,other_income,Advance,-P28D,,
auto -13.7 MKD,expense,13.7,MKD,transport,Auto,PT0M,,
spent 0.06€ prints 10d ago,expense,0.06,EUR,education,Prints,-P10D,,
auto -0.22e,expense,0.22,EUR,transport,Auto,PT0M,,
spent €0.11 bus,expense,0.11,EUR,transport,Bus,PT0M,,
parking €0.28 -26d,expense,0.28,EUR,parking,Parking,-P26D,,
snacks -20.55mkd,expense,20.55,MKD,food_drink,Snacks,PT0M,,
pastry 1.11 eur 17 hours ago,expense,1.11,EUR,food_drink,Pastry,-PT17H,,
transport -0.5€,expense,0.5,EUR,transport,Transport,PT0M,,
withdraw $0.24 savings bank to cash,transfer,0.24,USD,transfer,Withdraw,PT0M,Savings Bank,Cash
snacks +0.33e,income,0.33,EUR,other_income,Snacks,PT0M,,
drink 0.11e,expense,0.11,EUR,food_drink,Drink,PT0M,,
snacks -0.67 eur,expense,0.67,EUR,food_drink,Snacks,PT0M,,
adjust balance 6.85mkd,expense,6.85,MKD,balance_adjustment,Adjust balance,PT0M,,
adjust balance 0.33 eur,expense,0.33,EUR,balance_adjustment,Adjust balance,PT0M,,
snacks 0.33e,expense,0.33,EUR,food_drink,Snacks,PT0M,,
person_c $0.67 -17h,expense,0.67,USD,peer_transfer,person_c,-PT17H,,
bus -6.85 den,expense,6.85,MKD,transport,Bus,PT0M,,
auto 0.22€,expense,0.22,EUR,transport,Auto,PT0M,,
auto 0.22€ 21h ago,expense,0.22,EUR,transport,Auto,-PT21H,,
bus 0.11 eur -23h,expense,0.11,EUR,transport,Bus,-PT23H,,
spent 0.22e auto,expense,0.22,EUR,transport,Auto,PT0M,,
snacks 1.56 eur in 1d,expense,1.56,EUR,food_drink,Snacks,P1D,,
spent €0.22 auto,expense,0.22,EUR,transport,Auto,PT0M,,
withdraw €5.56 savings bank to cash 8d ago,transfer,5.56,EUR,transfer,Withdraw,-P8D,Savings Bank,Cash
spent 13.7mkd auto,expense,13.7,MKD,transport,Auto,PT0M,,
spent 0.11€ bus 30 days ago,expense,0.11,EUR,transport,Bus,-P30D,,
snacks €0.33,expense,0.33,EUR,food_drink,Snacks,PT0M,,
bus 0.11 eur 3h ago,expense,0.11,EUR,transport,Bus,-PT3H,,
adjust balance 0.22 eur -4h,expense,0.22,EUR,balance_adjustment,Adjust balance,-PT4H,,
+11.56€ adjust balance tmr,income,11.56,EUR,balance_adjustment,Adjust balance,P1D,,
spent 6.85mkd bus 16 hours ago,expense,6.85,MKD,transport,Bus,-PT16H,,
auto 0.22e 23 days ago,expense,0.22,EUR,transport,Auto,-P23D,,
spent 4.78 eur pass,expense,4.78,EUR,other,Pass,PT0M,,
auto 0.22€,expense,0.22,EUR,transport,Auto,PT0M,,
bus -0.33 eur 18 hours ago,expense,0.33,EUR,transport,Bus,-PT18H,,
spent 0.22 eur auto 6d ago,expense,0.22,EUR,transport,Auto,-P6D,,
+0.56e add,income,0.56,EUR,balance_adjustment,Add,PT0M,,
spent €0.11 person_b,expense,0.11,EUR,peer_transfer,person_b,PT0M,,
auto -€0.22 -2h,expense,0.22,EUR,transport,Auto,-PT2H,,
+6.67e pocket money tmr,income,6.67,EUR,family_support,Pocket Money,P1D,,
spent €0.11 bus 7d ago,expense,0.11,EUR,transport,Bus,-P7D,,
auto -0.22€,expense,0.22,EUR,transport,Auto,PT0M,,
spent 13.7 den stickers 8h ago,expense,13.7,MKD,shopping,Stickers,-PT8H,,
stationary -0.56 eur,expense,0.56,EUR,education,Stationary,PT0M,,
juice -0.44e -3h,expense,0.44,EUR,food_drink,Juice,-PT3H,,
got +€0.56 person_i payback,income,0.56,EUR,other_income,person_i payback,PT0M,,
samosa -0.67€ -20h,expense,0.67,EUR,food_drink,Samosa,-PT20H,,
auto -€0.22 17h ago,expense,0.22,EUR,transport,Auto,-PT17H,,
auto 13.7mkd,expense,13.7,MKD,transport,Auto,PT0M,,
auto -0.24 dollar,expense,0.24,USD,transport,Auto,PT0M,,
bus -6.85 MKD 20d ago,expense,6.85,MKD,transport,Bus,-P20D,,
spent 0.12 dollar bus,expense,0.12,USD,transport,Bus,PT0M,,
juice -0.17 eur 24 days ago,expense,0.17,EUR,food_drink,Juice,-P24D,,
spent 0.22€ auto,expense,0.22,EUR,transport,Auto,PT0M,,
bus -6.85mkd 19 days ago,expense,6.85,MKD,transport,Bus,-P19D,,
auto -13.7 ден,expense,13.7,MKD,transport,Auto,PT0M,,
spent 0.22e auto 14h ago,expense,0.22,EUR,transport,Auto,-PT14H,,
spent €0.22 auto yday,expense,0.22,EUR,transport,Auto,-P1D,,
snacks 0.33€,expense,0.33,EUR,food_drink,Snacks,PT0M,,
spent 0.24usd auto 24 days ago,expense,0.24,USD,transport,Auto,-P24D,,
bus -0.11€,expense,0.11,EUR,transport,Bus,PT0M,,
spent €0.22 auto 24d ago,expense,0.22,EUR,transport,Auto,-P24D,,
auto -€0.44,expense,0.44,EUR,transport,Auto,PT0M,,
snacks -0.22 eur tomorrow,expense,0.22,EUR,food_drink,Snacks,P1D,,
bus 0.11 eur,expense,0.11,EUR,transport,Bus,PT0M,,
computer stuff -5.22 eur,expense,5.22,EUR,shopping,Computer stuff,PT0M,,
person_i $0.12 3 hours ago,expense,0.12,USD,other,person_i,-PT3H,,
spent 0.24usd auto,expense,0.24,USD,transport,Auto,PT0M,,
bus -0.11e,expense,0.11,EUR,transport,Bus,PT0M,,
shawarma -82.19mkd -29d,expense,82.19,MKD,food_drink,Shawarma,-P29D,,
adjust balance 0.33 eur -2h,expense,0.33,EUR,balance_adjustment,Adjust balance,-PT2H,,
spent 6.85 MKD bus 28 days ago,expense,6.85,MKD,transport,Bus,-P28D,,
spent €0.11 bus,expense,0.11,EUR,transport,Bus,PT0M,,
bus 6.85mkd,expense,6.85,MKD,transport,Bus,PT0M,,
auto €0.22,expense,0.22,EUR,transport,Auto,PT0M,,
person_b -0.24usd -8h,expense,0.24,USD,peer_transfer,person_b,-PT8H,,
something €0.06 21 hours ago,expense,0.06,EUR,other,Something,-PT21H,,
recharge -177.4 MKD,expense,177.4,MKD,utilities,Recharge,PT0M,,
adjust balance 0.11e -6d,expense,0.11,EUR,balance_adjustment,Adjust balance,-P6D,,
spent 0.11€ bus,expense,0.11,EUR,transport,Bus,PT0M,,
got +11.11 eur pocket money,income,11.11,EUR,family_support,Pocket money,PT0M,,
curd 0.53e in 1d,expense,0.53,EUR,food_drink,Curd,P1D,,
auto €0.22 -9h,expense,0.22,EUR,transport,Auto,-PT9H,,
snacks 0.89 eur,expense,0.89,EUR,food_drink,Snacks,PT0M,,
adjust balance 0.11€,expense,0.11,EUR,balance_adjustment,Adjust balance,PT0M,,
adjust balance -1.06 eur,expense,1.06,EUR,balance_adjustment,Adjust balance,PT0M,,
🖊️ 0.11e,expense,0.11,EUR,other,🖊️,PT0M,,
spent 6.85 ден bus,expense,6.85,MKD,transport,Bus,PT0M,,
juice $0.24,expense,0.24,USD,food_drink,Juice,PT0M,,
snacks -€0.56,expense,0.56,EUR,food_drink,Snacks,PT0M,,
auto 0.22€ -24d,expense,0.22,EUR,transport,Auto,-P24D,,
spent 13.7mkd auto,expense,13.7,MKD,transport,Auto,PT0M,,
spent 0.11e bus,expense,0.11,EUR,transport,Bus,PT0M,,
spent 0.22e auto,expense,0.22,EUR,transport,Auto,PT0M,,
pen -6.85 MKD 27d ago,expense,6.85,MKD,education,Pen,-P27D,,
person_i -0.22e,expense,0.22,EUR,other,person_i,PT0M,,
family_member_b 7876.71 ден 5h ago,expense,7876.71,MKD,peer_transfer,family_member_b,-PT5H,,
book €2 11 hours ago,expense,2,EUR,education,Book,-PT11H,,
+5479.45 MKD salary,income,5479.45,MKD,salary,Salary,PT0M,,
bus -€0.11 8 days ago,expense,0.11,EUR,transport,Bus,-P8D,,
bus €0.11 6 days ago,expense,0.11,EUR,transport,Bus,-P6D,,
bus -€0.22 12d ago,expense,0.22,EUR,transport,Bus,-P12D,,
family_member_b €0.56 -5d,expense,0.56,EUR,peer_transfer,family_member_b,-P5D,,
bus 0.11 eur,expense,0.11,EUR,transport,Bus,PT0M,,
spent 0.22e juice,expense,0.22,EUR,food_drink,Juice,PT0M,,
exam fees -8.89 eur 9h ago,expense,8.89,EUR,education,Exam fees,-PT9H,,
auto 13.7mkd 11 hours ago,expense,13.7,MKD,transport,Auto,-PT11H,,
record books €4 in 1d,expense,4,EUR,education,Record books,P1D,,
withdraw savings bank 1.89e to cash,transfer,1.89,EUR,transfer,Withdraw,PT0M,Savings Bank,Cash
adjust -0.67€,expense,0.67,EUR,balance_adjustment,Adjust,PT0M,,
spent 1.11€ adjust,expense,1.11,EUR,balance_adjustment,Adjust,PT0M,,
spent 0.22€ auto,expense,0.22,EUR,transport,Auto,PT0M,,
spent 0.22€ auto -13d,expense,0.22,EUR,transport,Auto,-P13D,,
juice -€0.11 5h ago,expense,0.11,EUR,food_drink,Juice,-PT5H,,
spent 0.28 eur snacks,expense,0.28,EUR,food_drink,Snacks,PT0M,,
spent €0.22 auto,expense,0.22,EUR,transport,Auto,PT0M,,
adjust €0.44,expense,0.44,EUR,balance_adjustment,Adjust,PT0M,,
spent 13.7 ден juice,expense,13.7,MKD,food_drink,Juice,PT0M,,
juice 0.22 eur -5h,expense,0.22,EUR,food_drink,Juice,-PT5H,,
bus 0.36 dollar,expense,0.36,USD,transport,Bus,PT0M,,
bus €0.11,expense,0.11,EUR,transport,Bus,PT0M,,
medic -€0.59,expense,0.59,EUR,health,Medic,PT0M,,
spent 0.11 eur bus,expense,0.11,EUR,transport,Bus,PT0M,,
bus -0.22e,expense,0.22,EUR,transport,Bus,PT0M,,
auto -0.24usd,expense,0.24,USD,transport,Auto,PT0M,,
family_member_b -€0.11,expense,0.11,EUR,peer_transfer,family_member_b,PT0M,,
juice 0.22 eur,expense,0.22,EUR,food_drink,Juice,PT0M,,
auto 0.22 eur -4d,expense,0.22,EUR,transport,Auto,-P4D,,
got +€0.08 adjust -2d,income,0.08,EUR,balance_adjustment,Adjust,-P2D,,
got +1.7e adjust,income,1.7,EUR,balance_adjustment,Adjust,PT0M,,
suit 38.88€,expense,38.88,EUR,shopping,Suit,PT0M,,
breakfast 0.33 eur 14 hours ago,expense,0.33,EUR,food_drink,Breakfast,-PT14H,,
family_member_a payback 15.56 eur -22d,expense,15.56,EUR,peer_transfer,family_member_a payback,-P22D,,
bus -6.85 den 21 days ago,expense,6.85,MKD,transport,Bus,-P21D,,
spent 0.22 eur bus,expense,0.22,EUR,transport,Bus,PT0M,,
