previousInput,input,exercise,setNumber,reps,weightKg
squat s3 70+20x2,squat set4 90+10x2,squat,4,2,100
squat set4 90+10x2,squat set5 110x2,squat,5,2,110
squat set5 110x2,+10 x1,squat,6,1,120
squat s6 110 +10 1reps,squat #7 125x1,squat,7,1,125
squat #7 125x1,#8 125kg +5kg x1,squat,8,1,130
squat #8 125kg +5kg x1,psnatch #1 20x5,power_snatch,1,5,20
psnatch #1 20x5,20x5,power_snatch,2,5,20
psnatch set2 20x5,20x5,power_snatch,3,5,20
psnatch #3 20kgx5,#4 10kgx5,power_snatch,4,5,10
psnatch #4 10kgx5,set5 10kgx5,power_snatch,5,5,10
psnatch set5 10kgx5,psnatch s6 10x5,power_snatch,6,5,10
,snatch s1 40kgx3,snatch,1,3,40
snatch s1 40kgx3,40x3,snatch,2,3,40
snatch set2 40x3,+10 x3,snatch,3,3,50
snatch s3 40 +10 r3,snatch set4 50x3,snatch,4,3,50
snatch set4 50x3,snatch set5 50 +10 2,snatch,5,2,60
snatch set5 50 +10 2,#6 60kg +10kg x1,snatch,6,1,70
snatch #6 60kg +10kg x1,snatch #7 70kgx1,snatch,7,1,70
,cj #1 50 2r,clean_and_jerk,1,2,50
cj #1 50 2r,+10 x2,clean_and_jerk,2,2,60
cj #2 50kg +10kg x2,+10 x2,clean_and_jerk,3,2,70
cj set3 60kg +10kg x2,cj #4 70kg +10kg x2,clean_and_jerk,4,2,80
cj #4 70kg +10kg x2,cj #5 80kgx2,clean_and_jerk,5,2,80
cj #5 80kgx2,80x2,clean_and_jerk,6,2,80
cj #6 80 r2,cj #7 80+10 2reps,clean_and_jerk,7,2,90
,squat #1 50 5,squat,1,5,50
squat #1 50 5,squat #2 50+20x3,squat,2,3,70
squat #2 50+20x3,squat set3 70+10x3,squat,3,3,80
squat set3 70+10x3,squat #4 90kgx3,squat,4,3,90
squat #4 90kgx3,squat #5 100x3,squat,5,3,100
squat #5 100x3,squat #6 100 r3,squat,6,3,100
squat #6 100 r3,squat s7 100x3,squat,7,3,100
squat s7 100x3,100x3,squat,8,3,100
,snatch set1 40 4reps,snatch,1,4,40
snatch set1 40 4reps,snatch s2 40x4,snatch,2,4,40
snatch s2 40x4,+10 x4,snatch,3,4,50
snatch set3 40+10 r4,set4 60kgx2,snatch,4,2,60
snatch set4 60kgx2,set5 60x2,snatch,5,2,60
snatch set5 60x2,snatch set6 70x1,snatch,6,1,70
snatch set6 70x1,s7 70x1,snatch,7,1,70
snatch s7 70x1,-10 x1,snatch,8,1,60
snatch s8 70 -10 1reps,+5 x1,snatch,9,1,65
snatch set9 65 r1,+5 x1,snatch,10,1,70
,cj set1 50 3r,clean_and_jerk,1,3,50
cj set1 50 3r,set2 60x3,clean_and_jerk,2,3,60
cj set2 60x3,+10 x3,clean_and_jerk,3,3,70
cj #3 60+10 r3,set4 70kg +10kg x2,clean_and_jerk,4,2,80
cj set4 70kg +10kg x2,cj set5 80+10 2reps,clean_and_jerk,5,2,90
cj set5 80+10 2reps,cj s6 95kgx1,clean_and_jerk,6,1,95
cj s6 95kgx1,+5 x1,clean_and_jerk,7,1,100
cj s7 95+5 r1,cpull s1 110kgx2,clean_pull,1,2,110
cpull s1 110kgx2,cpull set2 110kgx2,clean_pull,2,2,110
cpull set2 110kgx2,cpull #3 110 2reps,clean_pull,3,2,110
,squat s1 50kgx5,squat,1,5,50
squat s1 50kgx5,+20 x3,squat,2,3,70
squat #2 50 +20 r3,+20 x3,squat,3,3,90
squat #3 70+20 r3,+10 x3,squat,4,3,100
squat s4 90+10 3,squat s5 100 +10 3reps,squat,5,3,110
squat s5 100 +10 3reps,#6 110 3reps,squat,6,3,110
squat #6 110 3reps,squat #7 110x3,squat,7,3,110
squat #7 110x3,squat set8 110kgx3,squat,8,3,110
,snatch set1 40 4,snatch,1,4,40
snatch set1 40 4,40x4,snatch,2,4,40
snatch #2 40x4,snatch set3 40+10 r4,snatch,3,4,50
snatch set3 40+10 r4,snatch s4 50+10 r2,snatch,4,2,60
snatch s4 50+10 r2,s5 60 +10 1r,snatch,5,1,70
snatch s5 60 +10 1r,snatch set6 70x2,snatch,6,2,70
snatch set6 70x2,70x1,snatch,7,1,70
snatch #7 70 1reps,70x1,snatch,8,1,70
snatch #8 70 1r,snatch set9 70x1,snatch,9,1,70
snatch set9 70x1,cj set1 50kgx5,clean_and_jerk,1,5,50
cj set1 50kgx5,cj set2 50kg +10kg x4,clean_and_jerk,2,4,60
cj set2 50kg +10kg x4,cj s3 70x4,clean_and_jerk,3,4,70
cj s3 70x4,cj set4 80kgx2,clean_and_jerk,4,2,80
cj set4 80kgx2,cj s5 80kg +10kg x2,clean_and_jerk,5,2,90
cj s5 80kg +10kg x2,cj set6 90+5 r1,clean_and_jerk,6,1,95
,fs #1 50 2reps,front_squat,1,2,50
fs #1 50 2reps,+20 x2,front_squat,2,2,70
fs set2 70kgx2,fs #3 70 +10 2,front_squat,3,2,80
fs #3 70 +10 2,fs set4 90 r2,front_squat,4,2,90
fs set4 90 r2,fs #5 90 2,front_squat,5,2,90
fs #5 90 2,90x2,front_squat,6,2,90
fs #6 90x2,fs set7 90kgx2,front_squat,7,2,90
,squat set1 100x3,squat,1,3,100
squat set1 100x3,squat s2 100x3,squat,2,3,100
,bench set1 20x10,bench,1,10,20
bench set1 20x10,+20 x6,bench,2,6,40
bp s2 20kg +20kg x6,40x6,bench,3,6,40
bench set3 40x6,+10 x5,bench,4,5,50
bench s4 40kg +10kg x5,s5 60kgx3,bench,5,3,60
bench s5 60kgx3,set6 60x3,bench,6,3,60
bp set6 60x3,bench s7 60kgx3,bench,7,3,60
,snatch set1 40 r4,snatch,1,4,40
snatch set1 40 r4,40x5,snatch,2,5,40
snatch s2 40x5,+10 x4,snatch,3,4,50
snatch #3 40kg +10kg x4,snatch s4 50x4,snatch,4,4,50
snatch s4 50x4,snatch #5 60 3reps,snatch,5,3,60
snatch #5 60 3reps,snatch s6 60+5x3,snatch,6,3,65
snatch s6 60+5x3,s7 65 +5 1r,snatch,7,1,70
snatch s7 65 +5 1r,s8 70kgx1,snatch,8,1,70
,cj set1 50kgx5,clean_and_jerk,1,5,50
cj set1 50kgx5,+10 x4,clean_and_jerk,2,4,60
cj s2 60kgx4,cj set3 60kg +10kg x4,clean_and_jerk,3,4,70
cj set3 60kg +10kg x4,+10 x2,clean_and_jerk,4,2,80
cj set4 70+10 2,cj #5 80 +10 r2,clean_and_jerk,5,2,90
cj #5 80 +10 r2,set6 95 r1,clean_and_jerk,6,1,95
cj set6 95 r1,cj s7 95+5 1r,clean_and_jerk,7,1,100
,squat s1 50x5,squat,1,5,50
squat s1 50x5,+30 x3,squat,2,3,80
squat s2 50 +30 3r,+10 x2,squat,3,2,90
squat #3 90 2reps,squat set4 90 +10 2,squat,4,2,100
squat set4 90 +10 2,+10 x2,squat,5,2,110
squat set5 100+10 2reps,110x2,squat,6,2,110
squat s6 110x2,+10 x1,squat,7,1,120
squat #7 120x1,squat #8 120 1r,squat,8,1,120
squat #8 120 1r,fs s1 90 3reps,front_squat,1,3,90
fs s1 90 3reps,fs set2 90 r3,front_squat,2,3,90
fs set2 90 r3,fs #3 100kgx3,front_squat,3,3,100
,sj s1 20 r8,split_jerk,1,8,20
sj s1 20 r8,+20 x5,split_jerk,2,5,40
sj #2 20 +20 r5,+10 x4,split_jerk,3,4,50
sj set3 40 +10 4,+10 x4,split_jerk,4,4,60
sj #4 60kgx4,sj s5 60kgx4,split_jerk,5,4,60
sj s5 60kgx4,60x4,split_jerk,6,4,60
,snatch set1 40 4,snatch,1,4,40
snatch set1 40 4,snatch set2 40 4r,snatch,2,4,40
snatch set2 40 4r,#3 50kgx4,snatch,3,4,50
snatch #3 50kgx4,#4 50x4,snatch,4,4,50
snatch #4 50x4,snatch set5 50+10 r2,snatch,5,2,60
snatch set5 50+10 r2,snatch set6 60x2,snatch,6,2,60
snatch set6 60x2,#7 60 +5 r1,snatch,7,1,65
snatch #7 60 +5 r1,snatch #8 70 1,snatch,8,1,70
snatch #8 70 1,snatch #9 70+5 1,snatch,9,1,75
snatch #9 70+5 1,cj set1 50 5r,clean_and_jerk,1,5,50
cj set1 50 5r,+10 x4,clean_and_jerk,2,4,60
cj s2 50+10x4,set3 60+10 4r,clean_and_jerk,3,4,70
cj set3 60+10 4r,+10 x2,clean_and_jerk,4,2,80
cj #4 80x2,s5 90kgx1,clean_and_jerk,5,1,90
cj s5 90kgx1,set6 90kg +5kg x1,clean_and_jerk,6,1,95
,squat set1 50kgx3,squat,1,3,50
squat set1 50kgx3,+20 x3,squat,2,3,70
squat s2 70kgx3,+20 x2,squat,3,2,90
squat set3 90 r2,squat set4 90+10x2,squat,4,2,100
squat set4 90+10x2,s5 100 +10 2,squat,5,2,110
squat s5 100 +10 2,squat set6 110x2,squat,6,2,110
squat set6 110x2,110x2,squat,7,2,110
squat s7 110 2r,squat #8 110x2,squat,8,2,110
,snatch set1 40 r4,snatch,1,4,40
snatch set1 40 r4,40x4,snatch,2,4,40
snatch s2 40 4reps,#3 40+10 3reps,snatch,3,3,50
snatch #3 40+10 3reps,#4 50kgx2,snatch,4,2,50
snatch #4 50kgx2,+10 x2,snatch,5,2,60
snatch set5 50kg +10kg x2,snatch #6 70kgx2,snatch,6,2,70
snatch #6 70kgx2,snatch set7 70x2,snatch,7,2,70
snatch set7 70x2,snatch set8 60 2reps,snatch,8,2,60
snatch set8 60 2reps,s9 70x1,snatch,9,1,70
snatch s9 70x1,#10 70kg +1kg x1,snatch,10,1,71
snatch #10 70kg +1kg x1,cj set1 50 4,clean_and_jerk,1,4,50
cj set1 50 4,s2 50+20x2,clean_and_jerk,2,2,70
cj s2 50+20x2,cj #3 80kgx2,clean_and_jerk,3,2,80
cj #3 80kgx2,cj #4 80+10 1,clean_and_jerk,4,1,90
cj #4 80+10 1,+10 x1,clean_and_jerk,5,1,100
cj s5 90+10x1,cj #6 80kgx2,clean_and_jerk,6,2,80
cj #6 80kgx2,#7 80kgx2,clean_and_jerk,7,2,80
cj #7 80kgx2,80x2,clean_and_jerk,8,2,80
,squat #1 50kgx5,squat,1,5,50
squat #1 50kgx5,set2 50 +20 3reps,squat,2,3,70
squat set2 50 +20 3reps,squat set3 80 3r,squat,3,3,80
squat set3 80 3r,+10 x3,squat,4,3,90
squat set4 90 3reps,squat set5 100 2,squat,5,2,100
squat set5 100 2,squat set6 100+10 r2,squat,6,2,110
squat set6 100+10 r2,#7 110kgx2,squat,7,2,110
squat #7 110kgx2,110x2,squat,8,2,110
squat set8 110x2,squat #9 110x2,squat,9,2,110
,snatch s1 40 5,snatch,1,5,40
snatch s1 40 5,snatch #2 40 3reps,snatch,2,3,40
snatch #2 40 3reps,set3 40+10 3r,snatch,3,3,50
snatch set3 40+10 3r,snatch s4 60 2reps,snatch,4,2,60
snatch s4 60 2reps,snatch set5 60+10 2r,snatch,5,2,70
snatch set5 60+10 2r,snatch set6 70 2reps,snatch,6,2,70
snatch set6 70 2reps,+5 x1,snatch,7,1,75
snatch set7 75kgx1,cj s1 50x3,clean_and_jerk,1,3,50
cj s1 50x3,cj set2 50 +20 2,clean_and_jerk,2,2,70
cj set2 50 +20 2,cj #3 70+10 2reps,clean_and_jerk,3,2,80
cj #3 70+10 2reps,cj #4 80kg +10kg x1,clean_and_jerk,4,1,90
cj #4 80kg +10kg x1,+10 x1,clean_and_jerk,5,1,100
,squat s1 50kgx5,squat,1,5,50
squat s1 50kgx5,squat s2 50kg +20kg x3,squat,2,3,70
squat s2 50kg +20kg x3,+20 x3,squat,3,3,90
squat set3 70+20x3,s4 100kgx2,squat,4,2,100
squat s4 100kgx2,+10 x2,squat,5,2,110
squat s5 100+10x2,squat s6 110kgx2,squat,6,2,110
squat s6 110kgx2,#7 110 2r,squat,7,2,110
squat #7 110 2r,set8 110x2,squat,8,2,110
,snatch s1 40x3,snatch,1,3,40
snatch s1 40x3,set2 40x3,snatch,2,3,40
snatch set2 40x3,snatch #3 40+10 3r,snatch,3,3,50
snatch #3 40+10 3r,snatch s4 50 +10 1r,snatch,4,1,60
snatch s4 50 +10 1r,s5 60+5x1,snatch,5,1,65
snatch s5 60+5x1,set6 65 1reps,snatch,6,1,65
snatch set6 65 1reps,snatch #7 65+5 1,snatch,7,1,70
snatch #7 65+5 1,70x1,snatch,8,1,70
snatch s8 70 1r,cj #1 50 3,clean_and_jerk,1,3,50
cj #1 50 3,+10 x3,clean_and_jerk,2,3,60
cj #2 60kgx3,cj set3 60+10 1r,clean_and_jerk,3,1,70
cj set3 60+10 1r,s4 70+10 1reps,clean_and_jerk,4,1,80
cj s4 70+10 1reps,cj #5 80+10 1r,clean_and_jerk,5,1,90
cj #5 80+10 1r,cj s6 95 1r,clean_and_jerk,6,1,95
,squat set1 50 r5,squat,1,5,50
squat set1 50 r5,squat s2 50+20x3,squat,2,3,70
squat s2 50+20x3,+10 x3,squat,3,3,80
squat s3 80 3r,+10 x3,squat,4,3,90
squat set4 90x3,s5 90x3,squat,5,3,90
squat s5 90x3,squat #6 90kgx3,squat,6,3,90
,squat set1 40kgx8,squat,1,8,40
squat set1 40kgx8,squat #2 40 +10 6reps,squat,2,6,50
squat #2 40 +10 6reps,squat s3 50kgx6,squat,3,6,50
squat s3 50kgx6,squat #4 50 +20 3r,squat,4,3,70
squat #4 50 +20 3r,+20 x3,squat,5,3,90
squat #5 70+20 3reps,squat #6 90kgx3,squat,6,3,90
squat #6 90kgx3,squat #7 90+20 r2,squat,7,2,110
squat #7 90+20 r2,#8 100kgx2,squat,8,2,100
,snatch s1 40x4,snatch,1,4,40
snatch s1 40x4,40x4,snatch,2,4,40
snatch set2 40x4,snatch s3 50x3,snatch,3,3,50
snatch s3 50x3,s4 50kgx3,snatch,4,3,50
snatch s4 50kgx3,+5 x2,snatch,5,2,55
snatch set5 55x2,#6 55kgx2,snatch,6,2,55
snatch #6 55kgx2,55x2,snatch,7,2,55
,cj s1 40x5,clean_and_jerk,1,5,40
cj s1 40x5,cj #2 40 5,clean_and_jerk,2,5,40
cj #2 40 5,cj set3 50 4r,clean_and_jerk,3,4,50
cj set3 50 4r,50x4,clean_and_jerk,4,4,50
cj set4 50x4,cj s5 50 +10 4,clean_and_jerk,5,4,60
cj s5 50 +10 4,+10 x3,clean_and_jerk,6,3,70
cj #6 60kg +10kg x3,70x3,clean_and_jerk,7,3,70
cj #7 70 3reps,+5 x1,clean_and_jerk,8,1,75
cj s8 70kg +5kg x1,set9 75+5 1reps,clean_and_jerk,9,1,80
cj set9 75+5 1reps,cj s10 80kg +5kg x1,clean_and_jerk,10,1,85
cj s10 80kg +5kg x1,spull set1 20x10,snatch_pull,1,10,20
spull set1 20x10,20x10,snatch_pull,2,10,20
spull s2 20 10reps,s3 20 10,snatch_pull,3,10,20
spull s3 20 10,#4 20x10,snatch_pull,4,10,20
spull #4 20x10,spull set5 20kgx10,snatch_pull,5,10,20
,snatch s1 40x3,snatch,1,3,40
snatch s1 40x3,snatch #2 40x3,snatch,2,3,40
snatch #2 40x3,snatch #3 50kgx3,snatch,3,3,50
snatch #3 50kgx3,snatch #4 60x2,snatch,4,2,60
snatch #4 60x2,snatch s5 65 r2,snatch,5,2,65
snatch s5 65 r2,snatch s6 65 +5 r2,snatch,6,2,70
snatch s6 65 +5 r2,70x2,snatch,7,2,70
snatch s7 70kgx2,#8 70x2,snatch,8,2,70
,cj s1 50kgx3,clean_and_jerk,1,3,50
cj s1 50kgx3,cj s2 60 3,clean_and_jerk,2,3,60
cj s2 60 3,+10 x3,clean_and_jerk,3,3,70
cj s3 70 3r,cj set4 70+10x2,clean_and_jerk,4,2,80
cj set4 70+10x2,cj set5 90kgx1,clean_and_jerk,5,1,90
cj set5 90kgx1,cj #6 90x1,clean_and_jerk,6,1,90
cj #6 90x1,squat #1 50 4reps,squat,1,4,50
squat #1 50 4reps,s2 70 4r,squat,2,4,70
squat s2 70 4r,+20 x3,squat,3,3,90
squat s3 90x3,+20 x2,squat,4,2,110
squat #4 90+20 2r,s5 110kgx2,squat,5,2,110
squat s5 110kgx2,110x2,squat,6,2,110
squat set6 110x2,110x2,squat,7,2,110
,snatch s1 40 4,snatch,1,4,40
snatch s1 40 4,s2 40 4r,snatch,2,4,40
snatch s2 40 4r,snatch set3 50 3reps,snatch,3,3,50
snatch set3 50 3reps,50x3,snatch,4,3,50
snatch s4 50x3,set5 50 +10 3,snatch,5,3,60
snatch set5 50 +10 3,snatch set6 60kg +5kg x2,snatch,6,2,65
snatch set6 60kg +5kg x2,snatch set7 70kgx1,snatch,7,1,70
snatch set7 70kgx1,snatch s8 70kgx1,snatch,8,1,70
snatch s8 70kgx1,snatch s9 70kgx1,snatch,9,1,70
,cj #1 50x3,clean_and_jerk,1,3,50
cj #1 50x3,set2 60 3reps,clean_and_jerk,2,3,60
cj set2 60 3reps,+10 x2,clean_and_jerk,3,2,70
cj #3 70x2,+10 x2,clean_and_jerk,4,2,80
cj s4 70+10 2,+10 x2,clean_and_jerk,5,2,90
cj s5 80 +10 2,cj set6 90x2,clean_and_jerk,6,2,90
cj set6 90x2,cj s7 90kg +5kg x1,clean_and_jerk,7,1,95
cj s7 90kg +5kg x1,squat s1 50x5,squat,1,5,50
squat s1 50x5,set2 50 +20 3,squat,2,3,70
squat set2 50 +20 3,squat #3 70kg +20kg x3,squat,3,3,90
squat #3 70kg +20kg x3,+10 x2,squat,4,2,100
squat s4 100 r2,set5 100 +10 r2,squat,5,2,110
squat set5 100 +10 r2,110x2,squat,6,2,110
squat set6 110kgx2,s7 110kgx2,squat,7,2,110
squat s7 110kgx2,squat #8 110kgx2,squat,8,2,110
,snatch set1 40kgx4,snatch,1,4,40
snatch set1 40kgx4,snatch set2 40x4,snatch,2,4,40
snatch set2 40x4,+10 x3,snatch,3,3,50
snatch set3 40+10x3,snatch #4 50+10x2,snatch,4,2,60
snatch #4 50+10x2,set5 60kg +10kg x2,snatch,5,2,70
snatch set5 60kg +10kg x2,snatch s6 70x2,snatch,6,2,70
,cj set1 40x4,clean_and_jerk,1,4,40
cj set1 40x4,+10 x3,clean_and_jerk,2,3,50
cj s2 50 r3,+10 x3,clean_and_jerk,3,3,60
cj s3 50+10 3,s4 60 +10 2reps,clean_and_jerk,4,2,70
cj s4 60 +10 2reps,cj s5 70kgx2,clean_and_jerk,5,2,70
cj s5 70kgx2,+10 x2,clean_and_jerk,6,2,80
cj set6 70+10x2,s7 80+5 r1,clean_and_jerk,7,1,85
cj s7 80+5 r1,+5 x1,clean_and_jerk,8,1,90
cj s8 85 +5 1,set9 90 r1,clean_and_jerk,9,1,90
cj set9 90 r1,squat #1 50kgx5,squat,1,5,50
squat #1 50kgx5,+20 x5,squat,2,5,70
squat s2 70 5,+20 x3,squat,3,3,90
squat #3 70+20 3,squat #4 100x2,squat,4,2,100
squat #4 100x2,set5 110kgx2,squat,5,2,110
squat set5 110kgx2,#6 110x2,squat,6,2,110
squat #6 110x2,110x2,squat,7,2,110
squat set7 110kgx2,set8 110kgx2,squat,8,2,110
,fs #1 90x3,front_squat,1,3,90
fs #1 90x3,90x3,front_squat,2,3,90
fs #2 90kgx3,set3 90+10 2r,front_squat,3,2,100
,snatch set1 20x5,snatch,1,5,20
snatch set1 20x5,+20 x4,snatch,2,4,40
snatch #2 40x4,+10 x4,snatch,3,4,50
snatch set3 40+10 4reps,snatch #4 50kgx4,snatch,4,4,50
snatch #4 50kgx4,snatch #5 50kgx4,snatch,5,4,50
snatch #5 50kgx4,snatch s6 50kgx4,snatch,6,4,50
,cj set1 20kgx5,clean_and_jerk,1,5,20
cj set1 20kgx5,+30 x4,clean_and_jerk,2,4,50
cj s2 50kgx4,cj #3 50+10 3r,clean_and_jerk,3,3,60
cj #3 50+10 3r,s4 70 4,clean_and_jerk,4,4,70
cj s4 70 4,cj s5 70 r4,clean_and_jerk,5,4,70
cj s5 70 r4,cj set6 70 4,clean_and_jerk,6,4,70
cj set6 70 4,cj s7 70 r4,clean_and_jerk,7,4,70
cj s7 70 r4,squat set1 50x5,squat,1,5,50
squat set1 50x5,squat set2 70 r5,squat,2,5,70
squat set2 70 r5,squat set3 90kgx3,squat,3,3,90
squat set3 90kgx3,s4 100x3,squat,4,3,100
squat s4 100x3,100x3,squat,5,3,100
squat set5 100 3reps,#6 100x3,squat,6,3,100
squat #6 100x3,squat s7 100kgx3,squat,7,3,100
,squat #1 50x8,squat,1,8,50
squat #1 50x8,#2 50 +10 5,squat,2,5,60
squat #2 50 +10 5,squat #3 60 +10 3reps,squat,3,3,70
squat #3 60 +10 3reps,squat s4 70kg +10kg x3,squat,4,3,80
squat s4 70kg +10kg x3,squat s5 80+10 3r,squat,5,3,90
squat s5 80+10 3r,squat #6 90kg +10kg x4,squat,6,4,100
squat #6 90kg +10kg x4,set7 100x4,squat,7,4,100
squat set7 100x4,set8 100x4,squat,8,4,100
squat set8 100x4,squat set9 100 4reps,squat,9,4,100
squat set9 100 4reps,#10 100kgx4,squat,10,4,100
,pu set1 r10,push_up,1,10,
pu set1 r10,#2 10reps,push_up,2,10,
pu #2 10reps,set3 r10,push_up,3,10,
,snatch set1 20 5reps,snatch,1,5,20
snatch set1 20 5reps,snatch set2 40kgx4,snatch,2,4,40
snatch set2 40kgx4,snatch s3 40 r3,snatch,3,3,40
snatch s3 40 r3,set4 50x3,snatch,4,3,50
snatch set4 50x3,snatch #5 50kgx3,snatch,5,3,50
snatch #5 50kgx3,s6 50kg +10kg x2,snatch,6,2,60
snatch s6 50kg +10kg x2,snatch #7 60kgx2,snatch,7,2,60
snatch #7 60kgx2,snatch s8 60+10 2,snatch,8,2,70
snatch s8 60+10 2,+5 x1,snatch,9,1,75
snatch s9 75 r1,s10 75x1,snatch,10,1,75
snatch s10 75x1,cj #1 50 r4,clean_and_jerk,1,4,50
cj #1 50 r4,#2 50x4,clean_and_jerk,2,4,50
cj #2 50x4,s3 50 +20 2reps,clean_and_jerk,3,2,70
cj s3 50 +20 2reps,cj s4 80kgx1,clean_and_jerk,4,1,80
cj s4 80kgx1,+10 x1,clean_and_jerk,5,1,90
cj #5 80 +10 r1,cj s6 95x1,clean_and_jerk,6,1,95
cj s6 95x1,s7 95+5x1,clean_and_jerk,7,1,100
,sj s1 20kgx6,split_jerk,1,6,20
sj s1 20kgx6,20x6,split_jerk,2,6,20
sj #2 20kgx6,s3 20+20x5,split_jerk,3,5,40
sj s3 20+20x5,+10 x5,split_jerk,4,5,50
sj set4 40 +10 5reps,50x5,split_jerk,5,5,50
sj set5 50 5,sj s6 50kgx5,split_jerk,6,5,50
,abs #1 25r,crunch,1,25,
abs #1 25r,ohp #1 12 20reps,ohp,1,20,12
ohp #1 12 20reps,gm s1 20kgx15,good_morning,1,15,20
gm s1 20kgx15,squat #1 20x10,squat,1,10,20
squat #1 20x10,+20 x5,squat,2,5,40
squat #2 20+20x5,squat set3 50 5,squat,3,5,50
squat set3 50 5,s4 50kg +20kg x3,squat,4,3,70
squat s4 50kg +20kg x3,squat #5 70+10x3,squat,5,3,80
squat #5 70+10x3,squat #6 80 +10 4reps,squat,6,4,90
squat #6 80 +10 4reps,squat s7 90+10x5,squat,7,5,100
squat s7 90+10x5,100x5,squat,8,5,100
squat #8 100x5,#9 100kgx5,squat,9,5,100
squat #9 100kgx5,100x5,squat,10,5,100
squat set10 100x5,100x5,squat,11,5,100
squat set11 100 5r,pu s1 10reps,push_up,1,10,
pu s1 10reps,pu s2 10,push_up,2,10,
pu s2 10,set3 10,push_up,3,10,
pu set3 10,pu set4 10r,push_up,4,10,
,ab set1 25,crunch,1,25,
ab set1 25,gm s1 20x15,good_morning,1,15,20
gm s1 20x15,snatch #1 20 5r,snatch,1,5,20
snatch #1 20 5r,snatch s2 20 +20 3,snatch,2,3,40
snatch s2 20 +20 3,40x3,snatch,3,3,40
snatch s3 40 r3,#4 40+10 2,snatch,4,2,50
snatch #4 40+10 2,50x2,snatch,5,2,50
snatch #5 50x2,+10 x2,snatch,6,2,60
snatch set6 60x2,snatch set7 60 2,snatch,7,2,60
snatch set7 60 2,snatch set8 70kgx1,snatch,8,1,70
snatch set8 70kgx1,s9 70 1r,snatch,9,1,70
snatch s9 70 1r,snatch s10 70kg -5kg x2,snatch,10,2,65
snatch s10 70kg -5kg x2,65x2,snatch,11,2,65
snatch set11 65x2,snatch s12 65x2,snatch,12,2,65
snatch s12 65x2,cj s1 40kgx4,clean_and_jerk,1,4,40
cj s1 40kgx4,+10 x2,clean_and_jerk,2,2,50
cj set2 40+10 2reps,cj s3 70 2r,clean_and_jerk,3,2,70
cj s3 70 2r,cj set4 70kg +10kg x2,clean_and_jerk,4,2,80
cj set4 70kg +10kg x2,set5 80kgx1,clean_and_jerk,5,1,80
cj set5 80kgx1,+10 x1,clean_and_jerk,6,1,90
cj s6 80kg +10kg x1,cj s7 95 1reps,clean_and_jerk,7,1,95
,squat #1 20x10,squat,1,10,20
squat #1 20x10,squat #2 20kg +30kg x5,squat,2,5,50
squat #2 20kg +30kg x5,+20 x4,squat,3,4,70
squat #3 70 4,+20 x3,squat,4,3,90
squat s4 90x3,+10 x2,squat,5,2,100
squat s5 90+10 2,+10 x2,squat,6,2,110
squat s6 100+10x2,s7 120 2,squat,7,2,120
,ohp s1 5kgx20,ohp,1,20,5
ohp s1 5kgx20,press s2 40kgx4,ohp,2,4,40
press s2 40kgx4,ohp set3 40 4r,ohp,3,4,40
ohp set3 40 4r,40x4,ohp,4,4,40
press s4 40x4,+10 x3,ohp,5,3,50
,crunch set1 25,crunch,1,25,
,gm #1 20kgx15,good_morning,1,15,20
,snatch #1 20kgx5,snatch,1,5,20
snatch #1 20kgx5,+20 x3,snatch,2,3,40
snatch set2 20kg +20kg x3,snatch s3 40 3,snatch,3,3,40
snatch s3 40 3,+10 x3,snatch,4,3,50
snatch set4 40+10 3,50x3,snatch,5,3,50
snatch s5 50x3,snatch set6 60kgx2,snatch,6,2,60
snatch set6 60kgx2,snatch s7 60 2,snatch,7,2,60
snatch s7 60 2,set8 60+5x1,snatch,8,1,65
snatch set8 60+5x1,#9 70 1,snatch,9,1,70
,cj set1 40x4,clean_and_jerk,1,4,40
cj set1 40x4,+10 x2,clean_and_jerk,2,2,50
cj #2 40 +10 2,+20 x2,clean_and_jerk,3,2,70
cj #3 50+20x2,cj s4 70kgx2,clean_and_jerk,4,2,70
cj s4 70kgx2,cj set5 80x2,clean_and_jerk,5,2,80
cj set5 80x2,cj s6 90 1,clean_and_jerk,6,1,90
,squat #1 50 6reps,squat,1,6,50
squat #1 50 6reps,squat set2 50kg +20kg x4,squat,2,4,70
squat set2 50kg +20kg x4,#3 90kgx3,squat,3,3,90
squat #3 90kgx3,s4 100x3,squat,4,3,100
squat s4 100x3,+10 x2,squat,5,2,110
squat set5 110 2reps,110x2,squat,6,2,110
squat #6 110x2,110x2,squat,7,2,110
squat #7 110x2,#8 110x2,squat,8,2,110
squat #8 110x2,fs s1 90kgx3,front_squat,1,3,90
fs s1 90kgx3,fs set2 90kgx3,front_squat,2,3,90
fs set2 90kgx3,fs s3 90+10x2,front_squat,3,2,100
,abs set1 25r,crunch,1,25,
,snatch set1 20kgx5,snatch,1,5,20
snatch set1 20kgx5,snatch set2 40 3,snatch,2,3,40
snatch set2 40 3,snatch set3 40 3,snatch,3,3,40
snatch set3 40 3,snatch set4 50 3,snatch,4,3,50
snatch set4 50 3,s5 50 r3,snatch,5,3,50
snatch s5 50 r3,snatch #6 50kg +10kg x2,snatch,6,2,60
snatch #6 50kg +10kg x2,60x2,snatch,7,2,60
snatch set7 60kgx2,#8 60+5 2,snatch,8,2,65
snatch #8 60+5 2,set9 70 r2,snatch,9,2,70
,cj s1 50x3,clean_and_jerk,1,3,50
cj s1 50x3,cj set2 50x3,clean_and_jerk,2,3,50
